Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue
GS,336.92,4.1,+69.49%,5.9,344.1,0.6,2023-05-19,340.0,10.0,350.0,5.9,monthly,9.999999999999943
MSFT,286.14,3.85,+62.60%,6.15,293.85,0.624,2023-05-19,290.0,8.0,300.0,4.15,monthly,9.0
V,234.02,2.2,+78.57%,2.8,237.2,0.5760000000000001,2023-05-19,235.0,6.1,240.0,3.9,monthly,8.000000000000043
UNH,511.79,3.6,+56.25%,6.4,523.6,0.648,2023-05-19,520.0,9.0,530.0,5.4,monthly,8.000000000000028
V,234.02,3.91,+64.20%,6.09,238.91,0.616,2023-05-19,235.0,6.1,245.0,2.19,monthly,7.0
MSFT,286.14,2.05,+69.49%,2.95,292.05,0.596,2023-05-19,290.0,8.0,295.0,5.95,monthly,2.9999999999999716
DIS,99.9,2.11,+73.01%,2.89,102.11,0.583,2023-05-19,100.0,4.2,105.0,2.09,monthly,2.499999999999986
JPM,138.73,1.86,+59.24%,3.14,141.86,0.631,2023-05-19,140.0,3.2,145.0,1.34,monthly,1.5
MSFT,286.14,0.97,+63.40%,1.53,288.47,0.615,2023-04-21,287.5,2.57,290.0,1.6,monthly,0.75
CRM,194.65,2.2,+78.57%,2.8,197.2,0.561,2023-05-19,195.0,6.65,200.0,4.45,monthly,0.5000000000000426
ABBV,161.59,1.59,+46.63%,3.41,166.59,0.6829999999999999,2023-05-19,165.0,2.79,170.0,1.2,monthly,0.4999999999999716
GOOG,109.46,0.4,+66.67%,0.6,110.4,0.598,2023-04-21,110.0,1.29,111.0,0.89,monthly,-0.20000000000000284
AAPL,165.21,1.56,+45.35%,3.44,171.56,0.687,2023-05-19,170.0,3.05,175.0,1.49,monthly,-0.4999999999999716
NKE,125.95,0.44,+78.57%,0.56,126.44,0.555,2023-04-21,126.0,1.39,127.0,0.95,monthly,-0.5
T,19.93,0.38,+61.29%,0.62,20.38,0.613,2023-05-19,20.0,0.57,21.0,0.19,monthly,-0.6999999999999993
BAC,29.52,0.38,+61.29%,0.62,30.38,0.611,2023-05-19,30.0,1.0,31.0,0.62,monthly,-0.9000000000000021
BAC,29.52,0.17,+51.52%,0.33,30.17,0.636,2023-04-21,30.0,0.54,30.5,0.37,monthly,-1.200000000000001
AMZN,102.51,0.4,+66.67%,0.6,103.4,0.588,2023-04-21,103.0,1.4,104.0,1.0,monthly,-1.2000000000000028
META,221.49,1.01,+67.79%,1.49,223.51,0.59,2023-04-21,222.5,3.1,225.0,2.09,monthly,-1.500000000000007
CSCO,50.54,0.13,+35.14%,0.37,51.13,0.7070000000000001,2023-04-21,51.0,0.24,51.5,0.11,monthly,-1.6499999999999968
SHOP,46.39,0.21,+72.41%,0.29,46.71,0.546,2023-04-21,46.5,1.06,47.0,0.85,monthly,-1.6999999999999957
HD,292.19,1.06,+73.61%,1.44,293.56,0.569,2023-04-21,292.5,2.98,295.0,1.92,monthly,-1.7500000000000142
UBER,31.48,0.2,+66.67%,0.3,31.7,0.56,2023-04-21,31.5,0.56,32.0,0.36,monthly,-1.9999999999999982
MSFT,286.14,1.65,+49.25%,3.35,296.65,0.6659999999999999,2023-05-19,295.0,5.8,300.0,4.15,monthly,-2.0000000000000426
OXY,64.48,1.01,+67.79%,1.49,66.01,0.5870000000000001,2023-05-19,65.0,2.57,67.5,1.56,monthly,-2.249999999999986
INTC,31.89,0.18,+56.25%,0.32,32.18,0.595,2023-04-21,32.0,0.43,32.5,0.25,monthly,-2.2500000000000018
GM,34.49,0.15,+42.86%,0.35,35.15,0.654,2023-04-21,35.0,0.43,35.5,0.28,monthly,-2.299999999999999
T,19.93,0.18,+56.25%,0.32,20.18,0.593,2023-04-21,20.0,0.37,20.5,0.19,monthly,-2.3500000000000014
SHOP,46.39,0.14,+38.89%,0.36,47.64,0.672,2023-04-21,47.5,0.64,48.0,0.5,monthly,-2.399999999999997
X,25.78,0.17,+51.52%,0.33,26.17,0.605,2023-04-21,26.0,0.45,26.5,0.28,monthly,-2.75
INTC,31.89,0.11,+28.21%,0.39,32.61,0.7240000000000001,2023-04-21,32.5,0.24,33.0,0.13,monthly,-2.7999999999999945
AMZN,102.51,0.3,+42.86%,0.7,104.3,0.672,2023-04-21,104.0,0.98,105.0,0.68,monthly,-2.799999999999997
HPQ,29.82,0.15,+42.86%,0.35,30.15,0.644,2023-04-21,30.0,0.26,30.5,0.11,monthly,-2.799999999999999
MDT,80.71,0.77,+44.51%,1.73,83.27,0.68,2023-05-19,82.5,1.45,85.0,0.68,monthly,-2.999999999999986
AFRM,11.04,0.14,+38.89%,0.36,11.64,0.66,2023-04-21,11.5,0.38,12.0,0.24,monthly,-2.9999999999999964
FCX,43.16,0.38,+61.29%,0.62,44.38,0.59,2023-05-19,44.0,1.79,45.0,1.41,monthly,-3.0000000000000036
BAC,29.52,0.11,+28.21%,0.39,30.61,0.7190000000000001,2023-04-21,30.5,0.36,31.0,0.25,monthly,-3.0499999999999954
PINS,28.58,0.14,+38.89%,0.36,29.14,0.659,2023-04-21,29.0,0.36,29.5,0.22,monthly,-3.049999999999999
GOOGL,108.87,0.32,+47.06%,0.68,110.32,0.649,2023-04-21,110.0,1.02,111.0,0.7,monthly,-3.099999999999998
PYPL,76.53,0.15,+42.86%,0.35,77.65,0.637,2023-04-21,77.5,0.85,78.0,0.7,monthly,-3.1500000000000004
RIVN,13.38,0.17,+51.52%,0.33,13.67,0.596,2023-04-21,13.5,0.42,14.0,0.25,monthly,-3.200000000000001
PFE,41.19,0.13,+35.14%,0.37,41.63,0.674,2023-04-21,41.5,0.24,42.0,0.11,monthly,-3.299999999999997
GM,34.49,0.74,+58.73%,1.26,35.74,0.613,2023-05-19,35.0,1.51,37.0,0.77,monthly,-3.3999999999999986
PINS,28.58,0.4,+66.67%,0.6,29.4,0.565,2023-05-19,29.0,1.8,30.0,1.4,monthly,-3.5000000000000036
SHOP,46.39,0.1,+25.00%,0.4,48.1,0.727,2023-04-21,48.0,0.49,48.5,0.39,monthly,-3.650000000000002
MU,62.63,0.36,+56.25%,0.64,63.36,0.603,2023-04-21,63.0,0.95,64.0,0.59,monthly,-3.700000000000003
