Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
DKNG,19.49,0.22,+78.57%,0.28,19.72,0.551,2023-04-28,19.5,0.69,20.0,0.47,weekly,-0.4499999999999993,-0.02045454545454538
GOOGL,105.97,0.44,+78.57%,0.56,106.44,0.5579999999999999,2023-04-21,106.0,1.3,107.0,0.86,monthly,-0.2000000000000099,-0.004545454545454671
TSLA,187.04,1.1,+78.57%,1.4,188.6,0.535,2023-04-21,187.5,6.8,190.0,5.7,monthly,-6.249999999999986,-0.05681818181818168
TSLA,187.04,1.8,+75.95%,2.37,189.3,0.551,2023-04-21,187.5,6.8,191.67,5.0,monthly,-7.232999999999976,-0.04018333333333328
MSFT,288.8,2.15,+75.44%,2.85,292.15,0.5770000000000001,2023-04-28,290.0,6.35,295.0,4.2,weekly,3.500000000000042,0.016279069767441912
AMZN,102.74,0.85,+73.91%,1.15,103.85,0.545,2023-04-28,103.0,3.9,105.0,3.05,weekly,-5.999999999999986,-0.07058823529411754
TSLA,187.04,2.1,+72.41%,2.9,189.6,0.5579999999999999,2023-04-21,187.5,6.8,192.5,4.7,monthly,-11.000000000000014,-0.052380952380952486
TSLA,187.04,2.1,+72.41%,2.9,189.6,0.546,2023-04-28,187.5,8.65,192.5,6.55,weekly,-16.999999999999986,-0.08095238095238089
AMZN,102.74,0.42,+72.41%,0.58,103.42,0.58,2023-04-21,103.0,1.23,104.0,0.81,monthly,0.0,-7.665825646221319e-17
TSLA,187.04,1.05,+72.41%,1.45,188.55,0.527,2023-04-28,187.5,8.65,190.0,7.6,weekly,-13.249999999999991,-0.12619047619047613
META,218.86,2.05,+69.49%,2.95,222.05,0.5489999999999999,2023-04-28,220.0,9.9,225.0,7.85,weekly,-20.500000000000043,-0.10000000000000027
JPM,139.83,0.41,+69.49%,0.59,140.41,0.586,2023-04-21,140.0,1.02,141.0,0.61,monthly,-0.4000000000000021,-0.009756097560975695
TSLA,187.04,3.05,+68.54%,4.45,190.55,0.562,2023-04-28,187.5,8.65,195.0,5.6,weekly,-23.499999999999943,-0.07704918032786878
MCD,289.31,1.0,+66.67%,1.5,291.0,0.56,2023-04-28,290.0,4.1,292.5,3.1,weekly,-9.99999999999998,-0.0999999999999999
TSLA,187.04,3.0,+66.67%,4.5,190.5,0.578,2023-04-21,187.5,6.8,195.0,3.8,monthly,-16.50000000000003,-0.055000000000000104
META,218.86,1.0,+66.67%,1.5,221.0,0.5329999999999999,2023-04-28,220.0,9.9,222.5,8.9,weekly,-16.75000000000002,-0.1675000000000002
AMZN,102.74,0.4,+66.67%,0.6,103.4,0.527,2023-04-28,103.0,3.9,104.0,3.5,weekly,-7.299999999999997,-0.18249999999999986
META,218.86,3.95,+65.29%,6.05,223.95,0.5770000000000001,2023-04-28,220.0,9.9,230.0,5.95,weekly,-27.999999999999943,-0.0708860759493669
TSLA,187.04,3.9,+63.93%,6.1,191.4,0.5770000000000001,2023-04-28,187.5,8.65,197.5,4.75,weekly,-32.99999999999994,-0.08461538461538443
NVDA,270.02,1.95,+63.93%,3.05,274.45,0.595,2023-04-28,272.5,6.25,277.5,4.3,weekly,-7.500000000000014,-0.0384615384615385
AMZN,102.74,1.94,+63.40%,3.06,104.94,0.5870000000000001,2023-04-28,103.0,3.9,108.0,1.96,weekly,-12.499999999999956,-0.06443298969072152
AMZN,102.74,1.16,+63.04%,1.84,104.16,0.557,2023-04-28,103.0,3.9,106.0,2.74,weekly,-16.89999999999999,-0.14568965517241372
TSLA,187.04,1.9,+61.29%,3.1,191.9,0.586,2023-04-28,190.0,7.5,195.0,5.6,weekly,-17.000000000000014,-0.08947368421052655
PLUG,9.5,0.19,+61.29%,0.31,9.69,0.565,2023-04-28,9.5,0.45,10.0,0.26,weekly,-2.7500000000000018,-0.1447368421052633
COST,493.94,1.9,+61.29%,3.1,496.9,0.58,2023-04-28,495.0,5.25,500.0,3.35,weekly,-20.00000000000003,-0.10526315789473704
TSLA,187.04,0.95,+61.29%,1.55,190.95,0.569,2023-04-28,190.0,7.5,192.5,6.55,weekly,-12.750000000000014,-0.1342105263157897
PYPL,77.33,0.38,+61.29%,0.62,78.38,0.596,2023-04-28,78.0,1.43,79.0,1.05,weekly,-2.400000000000002,-0.06315789473684218
DIS,100.3,0.38,+61.29%,0.62,101.38,0.595,2023-04-28,101.0,1.51,102.0,1.13,weekly,-2.500000000000004,-0.06578947368421055
ENPH,224.92,1.9,+61.29%,3.1,226.9,0.5579999999999999,2023-04-21,225.0,5.3,230.0,3.4,monthly,-31.00000000000003,-0.16315789473684236
IBM,127.82,0.38,+61.29%,0.62,128.38,0.532,2023-04-21,128.0,2.63,129.0,2.25,monthly,-8.799999999999997,-0.231578947368421
DKNG,19.49,0.19,+61.29%,0.31,19.69,0.573,2023-04-21,19.5,0.42,20.0,0.23,monthly,-2.350000000000003,-0.12368421052631588
MSFT,288.8,3.76,+60.26%,6.24,293.76,0.613,2023-04-28,290.0,6.35,300.0,2.59,weekly,-11.0,-0.02925531914893625
AMZN,102.74,1.5,+60.00%,2.5,104.5,0.57,2023-04-28,103.0,3.9,107.0,2.4,weekly,-22.00000000000003,-0.1466666666666668
TSLA,187.04,3.75,+60.00%,6.25,191.25,0.594,2023-04-21,187.5,6.8,197.5,3.05,monthly,-31.00000000000003,-0.08266666666666672
GOOGL,105.97,0.75,+60.00%,1.25,107.75,0.581,2023-04-28,107.0,3.0,109.0,2.25,weekly,-8.800000000000011,-0.11733333333333346
UAL,42.38,0.56,+59.57%,0.94,43.06,0.589,2023-04-21,42.5,1.15,44.0,0.59,monthly,-5.649999999999999,-0.10089285714285712
MSFT,288.8,0.93,+59.24%,1.57,290.93,0.621,2023-04-21,290.0,2.18,292.5,1.25,monthly,-1.75,-0.018817204301075266
