Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
TSLA,185,2.2,+78.57%,2.8,187.2,52.6%,2023-05-19,185,13.6,190,11.4,monthly
NKE,125.95,0.44,+78.57%,0.56,126.44,55.5%,2023-04-21,126,1.39,127,0.95,monthly
V,234.02,2.2,+78.57%,2.8,237.2,57.6%,2023-05-19,235,6.1,240,3.9,monthly
CRM,194.65,2.2,+78.57%,2.8,197.2,56.1%,2023-05-19,195,6.65,200,4.45,monthly
TSLA,185,2.15,+75.44%,2.85,187.15,54.4%,2023-04-21,185,7.7,190,5.55,monthly
TSLA,185,4.25,+73.91%,5.75,189.25,55.0%,2023-05-19,185,13.6,195,9.35,monthly
HD,292.19,1.06,+73.61%,1.44,293.56,56.9%,2023-04-21,292.5,2.98,295,1.92,monthly
DIS,99.9,2.11,+73.01%,2.89,102.11,58.3%,2023-05-19,100,4.2,105,2.09,monthly
META,221.49,2.1,+72.41%,2.9,227.1,56.8%,2023-05-19,225,11.6,230,9.5,monthly
TSLA,185,1.05,+72.41%,1.45,186.05,52.2%,2023-04-21,185,7.7,187.5,6.65,monthly
SHOP,46.39,0.21,+72.41%,0.29,46.71,54.6%,2023-04-21,46.5,1.06,47,0.85,monthly
TSLA,185,2.75,+70.15%,3.92,187.75,55.7%,2023-04-21,185,7.7,191.67,4.95,monthly
GS,336.92,4.1,+69.49%,5.9,344.1,60.0%,2023-05-19,340,10,350,5.9,monthly
INTC,31.89,0.41,+69.49%,0.59,32.41,55.2%,2023-05-19,32,1.49,33,1.08,monthly
MSFT,286.14,2.05,+69.49%,2.95,292.05,59.6%,2023-05-19,290,8,295,5.95,monthly
TSLA,185,3.05,+68.54%,4.45,188.05,56.3%,2023-04-21,185,7.7,192.5,4.65,monthly
NFLX,338.63,4.05,+68.07%,5.95,344.05,55.7%,2023-04-21,340,14.2,350,10.15,monthly
META,221.49,4.05,+68.07%,5.95,229.05,59.1%,2023-05-19,225,11.6,235,7.55,monthly
OXY,64.48,1.01,+67.79%,1.49,66.01,58.7%,2023-05-19,65,2.57,67.5,1.56,monthly
META,221.49,1.01,+67.79%,1.49,223.51,59.0%,2023-04-21,222.5,3.1,225,2.09,monthly
TSLA,185,6.05,+67.60%,8.95,191.05,57.1%,2023-05-19,185,13.6,200,7.55,monthly
GOOG,109.46,0.4,+66.67%,0.6,110.4,59.8%,2023-04-21,110,1.29,111,0.89,monthly
NVDA,267.58,6,+66.67%,9,276,59.5%,2023-05-19,270,12.95,285,6.95,monthly
GOOGL,108.87,0.4,+66.67%,0.6,109.4,55.6%,2023-04-21,109,1.45,110,1.05,monthly
USB,34.97,0.4,+66.67%,0.6,35.4,55.0%,2023-04-21,35,1.3,36,0.9,monthly
PINS,28.58,0.4,+66.67%,0.6,29.4,56.5%,2023-05-19,29,1.8,30,1.4,monthly
NFLX,338.63,2,+66.67%,3,342,53.6%,2023-04-21,340,14.2,345,12.2,monthly
UBER,31.48,0.2,+66.67%,0.3,31.7,56.0%,2023-04-21,31.5,0.56,32,0.36,monthly
PYPL,76.53,1,+66.67%,1.5,78.5,57.6%,2023-05-19,77.5,3.65,80,2.65,monthly
TSLA,185,1,+66.67%,1.5,188.5,57.2%,2023-04-21,187.5,6.55,190,5.55,monthly
AMZN,102.51,0.4,+66.67%,0.6,103.4,58.8%,2023-04-21,103,1.4,104,1,monthly
UAL,41.67,0.4,+66.67%,0.6,42.4,55.2%,2023-05-19,42,2.1,43,1.7,monthly
ENPH,208.9,1,+66.67%,1.5,211,55.9%,2023-04-21,210,5.1,212.5,4.1,monthly
SLB,52.48,0.99,+65.56%,1.51,53.49,56.1%,2023-05-19,52.5,2.57,55,1.58,monthly
GOOG,109.46,1.97,+65.02%,3.03,111.97,58.2%,2023-05-19,110,4.5,115,2.53,monthly
NFLX,338.63,9.85,+65.02%,15.15,349.85,58.4%,2023-05-19,340,20.55,365,10.7,monthly
V,234.02,3.91,+64.20%,6.09,238.91,61.6%,2023-05-19,235,6.1,245,2.19,monthly
ON,77.92,0.78,+63.93%,1.22,78.78,58.3%,2023-04-21,78,1.59,80,0.81,monthly
MSFT,286.14,0.97,+63.40%,1.53,288.47,61.5%,2023-04-21,287.5,2.57,290,1.6,monthly
CVX,172.44,0.97,+63.40%,1.53,173.47,59.4%,2023-04-21,172.5,1.66,175,0.69,monthly
GOOGL,108.87,1.94,+63.40%,3.06,111.94,60.1%,2023-05-19,110,4.25,115,2.31,monthly
NFLX,338.63,5.8,+63.04%,9.2,345.8,57.5%,2023-04-21,340,14.2,355,8.4,monthly
TSLA,185,3.85,+62.60%,6.15,188.85,57.9%,2023-04-21,185,7.7,195,3.85,monthly
MSFT,286.14,3.85,+62.60%,6.15,293.85,62.4%,2023-05-19,290,8,300,4.15,monthly
TSLA,185,1.6,+62.26%,2.57,189.1,58.4%,2023-04-21,187.5,6.55,191.67,4.95,monthly
NVDA,267.58,1.9,+61.29%,3.1,276.9,60.5%,2023-05-19,275,10.6,280,8.7,monthly
MRNA,157.1,1.9,+61.29%,3.1,161.9,57.1%,2023-05-19,160,9.4,165,7.5,monthly
FCX,43.16,0.38,+61.29%,0.62,44.38,59.0%,2023-05-19,44,1.79,45,1.41,monthly
MS,86.71,0.76,+61.29%,1.24,87.76,58.7%,2023-04-21,87,1.7,89,0.94,monthly
AVGO,619.54,3.8,+61.29%,6.2,623.8,59.3%,2023-04-21,620,6.9,630,3.1,monthly
TSLA,185,1.9,+61.29%,3.1,191.9,58.1%,2023-05-19,190,11.25,195,9.35,monthly
RBLX,45.7,0.38,+61.29%,0.62,46.38,57.0%,2023-04-21,46,1.39,47,1.01,monthly
ENPH,208.9,7.6,+61.29%,12.4,217.6,57.8%,2023-05-19,210,16.9,230,9.3,monthly
MS,86.71,0.38,+61.29%,0.62,87.38,55.6%,2023-04-21,87,1.7,88,1.32,monthly
TSLA,185,1.9,+61.29%,3.1,189.4,59.0%,2023-04-21,187.5,6.55,192.5,4.65,monthly
NVDA,267.58,0.95,+61.29%,1.55,270.95,60.3%,2023-04-21,270,4.05,272.5,3.1,monthly
SHOP,46.39,0.38,+61.29%,0.62,46.88,57.0%,2023-04-21,46.5,1.06,47.5,0.68,monthly
W,34.81,0.38,+61.29%,0.62,35.38,56.3%,2023-04-21,35,1.33,36,0.95,monthly
BAC,29.52,0.38,+61.29%,0.62,30.38,61.1%,2023-05-19,30,1,31,0.62,monthly
T,19.93,0.38,+61.29%,0.62,20.38,61.3%,2023-05-19,20,0.57,21,0.19,monthly
NVDA,267.58,7.55,+60.64%,12.45,277.55,61.2%,2023-05-19,270,12.95,290,5.4,monthly
HD,292.19,1.88,+60.26%,3.12,294.38,61.0%,2023-04-21,292.5,2.98,297.5,1.1,monthly
CRM,194.65,0.94,+60.26%,1.56,195.94,58.2%,2023-04-21,195,2.24,197.5,1.3,monthly
