Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
WMT,148.82,0.41,+69.49%,0.59,149.41,57.9%,2023-06-09,149,1.09,150,0.68
PYPL,63.96,0.4,+66.67%,0.6,64.4,56.3%,2023-06-09,64,1.1,65,0.7
TSLA,213.97,0.95,+61.29%,1.55,215.95,55.5%,2023-06-09,215,5.25,217.5,4.3
XOM,105.76,0.37,+58.73%,0.63,106.37,55.7%,2023-06-09,106,1.59,107,1.22
TSLA,213.97,1.85,+58.73%,3.15,216.85,58.0%,2023-06-09,215,5.25,220,3.4
CVS,69.99,0.37,+58.73%,0.63,70.37,57.5%,2023-06-09,70,0.79,71,0.42
XOM,105.76,0.74,+58.73%,1.26,106.74,59.0%,2023-06-09,106,1.59,108,0.85
BX,89,0.36,+56.25%,0.64,89.36,52.5%,2023-06-09,89,2.28,90,1.92
AMZN,124.25,0.36,+56.25%,0.64,125.36,59.2%,2023-06-09,125,1.61,126,1.25
DKNG,24.92,0.18,+56.25%,0.32,25.18,56.0%,2023-06-09,25,0.62,25.5,0.44
QCOM,115.62,0.35,+53.85%,0.65,116.35,55.8%,2023-06-09,116,1.84,117,1.49
JPM,140.47,0.35,+53.85%,0.65,141.35,61.0%,2023-06-09,141,1.03,142,0.68
COP,102.35,0.69,+52.67%,1.31,103.69,60.3%,2023-06-09,103,1.73,105,1.04
QCOM,115.62,0.69,+52.67%,1.31,116.69,58.4%,2023-06-09,116,1.84,118,1.15
FCX,37.19,0.17,+51.52%,0.33,37.67,60.5%,2023-06-09,37.5,0.59,38,0.42
AMZN,124.25,0.68,+51.52%,1.32,125.68,61.7%,2023-06-09,125,1.61,127,0.93
COIN,64.55,0.68,+51.52%,1.32,65.68,56.4%,2023-06-09,65,2.52,67,1.84
SQ,63.46,0.34,+51.52%,0.66,64.34,58.8%,2023-06-09,64,1.32,65,0.98
RIVN,14.48,0.17,+51.52%,0.33,14.67,55.6%,2023-06-09,14.5,0.52,15,0.35
PANW,217.24,1.68,+50.60%,3.32,219.18,56.9%,2023-06-09,217.5,4.35,222.5,2.67
TGT,133.22,0.67,+50.38%,1.33,134.67,60.9%,2023-06-09,134,1.72,136,1.05
PYPL,63.96,0.67,+50.38%,1.33,64.67,60.0%,2023-06-09,64,1.1,66,0.43
XOM,105.76,1,+50.00%,2,107,61.4%,2023-06-09,106,1.59,109,0.59
MSFT,335.4,0.83,+49.70%,1.67,338.33,63.5%,2023-06-09,337.5,2.6,340,1.77
CRWD,151.32,0.83,+49.70%,1.67,153.33,59.7%,2023-06-09,152.5,2.76,155,1.93
TSLA,213.97,2.49,+49.70%,5.01,217.49,59.8%,2023-06-09,215,5.25,222.5,2.76
COIN,64.55,0.99,+49.25%,2.01,65.99,58.1%,2023-06-09,65,2.52,68,1.53
SBUX,99.5,0.33,+49.25%,0.67,100.33,63.1%,2023-06-09,100,0.79,101,0.46
DIS,90.77,0.33,+49.25%,0.67,91.33,58.0%,2023-06-09,91,0.97,92,0.64
PANW,217.24,2.46,+48.81%,5.04,219.96,59.6%,2023-06-09,217.5,4.35,225,1.89
OXY,59.69,0.32,+47.06%,0.68,60.32,59.7%,2023-06-09,60,0.82,61,0.5
NVDA,393.27,0.8,+47.06%,1.7,395.8,54.6%,2023-06-09,395,8.1,397.5,7.3
DVN,48.53,0.32,+47.06%,0.68,49.32,61.2%,2023-06-09,49,0.89,50,0.57
GM,34.28,0.16,+47.06%,0.34,34.66,60.0%,2023-06-09,34.5,0.49,35,0.33
META,272.61,0.79,+46.20%,1.71,275.79,61.5%,2023-06-09,275,3.35,277.5,2.56
COIN,64.55,1.26,+45.99%,2.74,66.26,59.6%,2023-06-09,65,2.52,69,1.26
TGT,133.22,0.94,+45.63%,2.06,134.94,62.9%,2023-06-09,134,1.72,137,0.78
COST,512.59,1.56,+45.35%,3.44,516.56,63.4%,2023-06-09,515,3.55,520,1.99
