Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
KR,46.76,0.39,+63.93%,0.61,47.39,57.0%,2023-06-16,47,1.3,48,0.91,monthly
NKE,106.88,0.37,+58.73%,0.63,107.37,56.8%,2023-06-16,107,0.94,108,0.57,monthly
XOM,106.83,0.37,+58.73%,0.63,107.37,57.3%,2023-06-16,107,1.04,108,0.67,monthly
KR,46.76,0.18,+56.25%,0.32,47.18,54.7%,2023-06-16,47,1.3,47.5,1.12,monthly
TSLA,257.21,1.75,+53.85%,3.25,259.25,55.3%,2023-06-16,257.5,5.6,262.5,3.85,monthly
GOOGL,123.81,0.35,+53.85%,0.65,124.35,56.3%,2023-06-16,124,1.07,125,0.72,monthly
MANU,22.75,0.35,+53.85%,0.65,24.35,64.5%,2023-06-16,24,1.2,25,0.85,monthly
SHOP,63.62,0.34,+51.52%,0.66,64.34,58.0%,2023-06-16,64,1.23,65,0.89,monthly
TGT,128.95,0.68,+51.52%,1.32,129.68,56.8%,2023-06-16,129,1.44,131,0.76,monthly
KR,46.76,0.17,+51.52%,0.33,47.67,60.1%,2023-06-16,47.5,1.08,48,0.91,monthly
C,48.97,0.17,+51.52%,0.33,49.17,55.7%,2023-06-16,49,0.44,49.5,0.27,monthly
UBER,41.33,0.17,+51.52%,0.33,41.67,58.8%,2023-06-16,41.5,0.53,42,0.36,monthly
KR,46.76,0.68,+51.52%,1.32,47.68,60.2%,2023-06-16,47,1.3,49,0.62,monthly
AMZN,126.4,0.34,+51.52%,0.66,127.34,58.8%,2023-06-16,127,1.33,128,0.99,monthly
ADBE,477.02,3.35,+50.38%,6.65,483.35,55.2%,2023-06-16,480,17,490,13.65,monthly
CRWD,152.05,0.83,+49.70%,1.67,153.33,57.5%,2023-06-16,152.5,2.32,155,1.49,monthly
NFLX,434.9,1.65,+49.25%,3.35,436.65,54.0%,2023-06-16,435,6.3,440,4.65,monthly
BABA,87.67,0.33,+49.25%,0.67,88.33,57.2%,2023-06-16,88,1.24,89,0.91,monthly
COIN,52.07,0.33,+49.25%,0.67,53.33,59.6%,2023-06-16,53,1.45,54,1.12,monthly
MU,67.88,0.33,+49.25%,0.67,68.33,57.4%,2023-06-16,68,0.82,69,0.49,monthly
ROKU,73.67,0.33,+49.25%,0.67,74.33,55.0%,2023-06-16,74,1.77,75,1.44,monthly
MRVL,62.5,0.33,+49.25%,0.67,62.83,54.4%,2023-06-16,62.5,1.1,63.5,0.77,monthly
ADBE,477.02,4.9,+48.51%,10.1,484.9,56.4%,2023-06-16,480,17,495,12.1,monthly
TSLA,257.21,2.45,+48.51%,5.05,259.95,57.0%,2023-06-16,257.5,5.6,265,3.15,monthly
MSFT,333.81,0.81,+47.93%,1.69,335.81,60.1%,2023-06-16,335,2.3,337.5,1.49,monthly
CVS,72.4,0.16,+47.06%,0.34,72.66,55.9%,2023-06-16,72.5,0.57,73,0.41,monthly
APA,33.92,0.16,+47.06%,0.34,34.16,55.8%,2023-06-16,34,0.57,34.5,0.41,monthly
MRNA,127.67,0.64,+47.06%,1.36,128.64,56.2%,2023-06-16,128,2.31,130,1.67,monthly
XOM,106.83,0.64,+47.06%,1.36,107.64,60.9%,2023-06-16,107,1.04,109,0.4,monthly
MRVL,62.5,0.48,+47.06%,1.02,62.98,56.3%,2023-06-16,62.5,1.1,64,0.62,monthly
ABNB,124.31,0.64,+47.06%,1.36,125.64,59.6%,2023-06-16,125,1.74,127,1.1,monthly
ADBE,477.02,6.4,+47.06%,13.6,486.4,57.6%,2023-06-16,480,17,500,10.6,monthly
