Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
XOM,104.96,0.47,+88.68%,0.53,105.47,55.2%,2023-05-26,105,1.52,106,1.05,weekly
C,45.99,0.23,+85.19%,0.27,46.23,54.8%,2023-05-26,46,0.78,46.5,0.55,weekly
IBM,125.74,0.44,+78.57%,0.56,126.44,59.2%,2023-05-26,126,1.13,127,0.69,weekly
DIS,92.96,0.43,+75.44%,0.57,93.43,55.8%,2023-05-26,93,1.22,94,0.79,weekly
BA,204.5,1.07,+74.83%,1.43,206.07,57.1%,2023-05-26,205,3.35,207.5,2.28,weekly
WFC,39.84,0.21,+72.41%,0.29,40.21,58.5%,2023-05-26,40,0.62,40.5,0.41,weekly
C,45.99,0.42,+72.41%,0.58,46.42,58.5%,2023-05-26,46,0.78,47,0.36,weekly
XOM,104.96,0.83,+70.94%,1.17,105.83,58.8%,2023-05-26,105,1.52,107,0.69,weekly
AMD,106.7,0.41,+69.49%,0.59,107.41,54.1%,2023-05-26,107,2.49,108,2.08,weekly
META,244.73,1.02,+68.92%,1.48,246.02,54.7%,2023-05-26,245,4,247.5,2.98,weekly
CRWD,139.66,0.81,+68.07%,1.19,140.81,55.6%,2023-05-26,140,3.1,142,2.29,weekly
MSFT,316.55,1,+66.67%,1.5,318.5,59.0%,2023-05-26,317.5,3,320,2,weekly
NVDA,314.13,2,+66.67%,3,317,53.6%,2023-05-26,315,11.5,320,9.5,weekly
AMD,106.7,0.79,+65.29%,1.21,107.79,56.3%,2023-05-26,107,2.49,109,1.7,weekly
BA,204.5,1.95,+63.93%,3.05,206.95,60.9%,2023-05-26,205,3.35,210,1.4,weekly
JPM,138.11,0.39,+63.93%,0.61,139.39,60.7%,2023-05-26,139,1.44,140,1.05,weekly
SQ,58.97,0.39,+63.93%,0.61,59.39,54.4%,2023-05-26,59,1.38,60,0.99,weekly
SCHW,51.19,0.19,+61.29%,0.31,51.69,56.7%,2023-05-26,51.5,1.03,52,0.84,weekly
V,231.45,0.95,+61.29%,1.55,233.45,62.8%,2023-05-26,232.5,2,235,1.05,weekly
NVDA,314.13,3.8,+61.29%,6.2,318.8,55.9%,2023-05-26,315,11.5,325,7.7,weekly
NKE,117.39,0.76,+61.29%,1.24,118.76,62.7%,2023-05-26,118,1.49,120,0.73,weekly
NVDA,314.13,0.95,+61.29%,1.55,315.95,52.3%,2023-05-26,315,11.5,317.5,10.55,weekly
GOOGL,122.79,0.37,+58.73%,0.63,123.37,54.8%,2023-05-26,123,1.52,124,1.15,weekly
AMD,106.7,0.37,+58.73%,0.63,108.37,59.6%,2023-05-26,108,2.07,109,1.7,weekly
MS,83.42,0.37,+58.73%,0.63,84.37,62.9%,2023-05-26,84,0.87,85,0.5,weekly
SCHW,51.19,0.37,+58.73%,0.63,51.87,59.1%,2023-05-26,51.5,1.03,52.5,0.66,weekly
META,244.73,1.85,+58.73%,3.15,246.85,57.7%,2023-05-26,245,4,250,2.15,weekly
C,45.99,0.55,+57.89%,0.95,46.55,61.0%,2023-05-26,46,0.78,47.5,0.23,weekly
DIS,92.96,0.73,+57.48%,1.27,93.73,59.5%,2023-05-26,93,1.22,95,0.49,weekly
AMD,106.7,1.09,+57.07%,1.91,108.09,58.0%,2023-05-26,107,2.49,110,1.4,weekly
NVDA,314.13,2.7,+56.25%,4.8,320.2,57.6%,2023-05-26,317.5,10.4,325,7.7,weekly
XOM,104.96,1.08,+56.25%,1.92,106.08,61.3%,2023-05-26,105,1.52,108,0.44,weekly
WFC,39.84,0.36,+56.25%,0.64,40.36,61.8%,2023-05-26,40,0.62,41,0.26,weekly
NVDA,314.13,0.9,+56.25%,1.6,318.4,55.4%,2023-05-26,317.5,10.4,320,9.5,weekly
U,29.93,0.36,+56.25%,0.64,30.36,56.6%,2023-05-26,30,0.9,31,0.54,weekly
VZ,35.76,0.18,+56.25%,0.32,36.18,65.3%,2023-05-26,36,0.35,36.5,0.17,weekly
NVDA,314.13,5.35,+55.44%,9.65,320.35,57.8%,2023-05-26,315,11.5,330,6.15,weekly
JPM,138.11,0.71,+55.04%,1.29,139.71,63.2%,2023-05-26,139,1.44,141,0.73,weekly
