Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
GOOGL,125.12,0.48,+92.31%,0.52,125.48,55.3%,2023-05-26,125,1.99,126,1.51
GOOG,125.8,0.45,+81.82%,0.55,126.45,58.1%,2023-05-26,126,1.82,127,1.37
ROKU,54.94,0.45,+81.82%,0.55,55.45,55.3%,2023-05-26,55,1.71,56,1.26
GOOGL,125.12,0.89,+80.18%,1.11,125.89,59.1%,2023-05-26,125,1.99,127,1.1
UBER,39.97,0.22,+78.57%,0.28,40.22,55.7%,2023-05-26,40,0.8,40.5,0.58
XOM,106.78,0.43,+75.44%,0.57,107.43,58.3%,2023-05-26,107,1.17,108,0.74
CRWD,146.02,0.86,+75.44%,1.14,146.86,55.7%,2023-05-26,146,3.25,148,2.39
GE,105.01,0.43,+75.44%,0.57,105.43,55.8%,2023-05-26,105,1.17,106,0.74
CRM,211.85,1.06,+73.61%,1.44,213.56,61.6%,2023-05-26,212.5,2.74,215,1.68
JPM,139.71,0.42,+72.41%,0.58,140.42,57.0%,2023-05-26,140,1.35,141,0.93
ROKU,54.94,0.84,+72.41%,1.16,55.84,59.3%,2023-05-26,55,1.71,57,0.87
OXY,58.96,0.42,+72.41%,0.58,59.42,59.3%,2023-05-26,59,0.84,60,0.42
WFC,40.37,0.21,+72.41%,0.29,40.71,59.1%,2023-05-26,40.5,0.54,41,0.33
INTC,29.95,0.21,+72.41%,0.29,30.21,58.4%,2023-05-26,30,0.48,30.5,0.27
META,252.46,1.05,+72.41%,1.45,253.55,54.5%,2023-05-26,252.5,3.7,255,2.65
GOOG,125.8,0.83,+70.94%,1.17,126.83,61.6%,2023-05-26,126,1.82,128,0.99
UBER,39.97,0.41,+69.49%,0.59,40.41,59.9%,2023-05-26,40,0.8,41,0.39
SQ,59.9,0.41,+69.49%,0.59,60.41,56.2%,2023-05-26,60,1.31,61,0.9
PANW,188.67,2.05,+69.49%,2.95,192.05,57.1%,2023-05-26,190,7.3,195,5.25
AI,27.63,0.4,+66.67%,0.6,27.9,57.4%,2023-05-26,27.5,1.65,28.5,1.25
DVN,49.6,0.2,+66.67%,0.3,49.7,56.1%,2023-05-26,49.5,0.78,50,0.58
PANW,188.67,1,+66.67%,1.5,191,54.9%,2023-05-26,190,7.3,192.5,6.3
NVDA,314.87,2,+66.67%,3,317,53.1%,2023-05-26,315,10.1,320,8.1
SHOP,63.66,0.4,+66.67%,0.6,64.4,58.2%,2023-05-26,64,1.37,65,0.97
GOOGL,125.12,1.2,+66.67%,1.8,126.2,62.0%,2023-05-26,125,1.99,128,0.79
AMD,108.18,0.4,+66.67%,0.6,109.4,55.5%,2023-05-26,109,2.08,110,1.68
NVDA,314.87,1,+66.67%,1.5,316,51.7%,2023-05-26,315,10.1,317.5,9.1
SCHW,51.73,0.2,+66.67%,0.3,52.2,58.2%,2023-05-26,52,0.81,52.5,0.61
C,45.82,0.2,+66.67%,0.3,46.2,59.7%,2023-05-26,46,0.54,46.5,0.34
PFE,36.97,0.2,+66.67%,0.3,37.2,61.0%,2023-05-26,37,0.34,37.5,0.14
SPWR,9.86,0.2,+66.67%,0.3,10.2,64.9%,2023-05-26,10,0.39,10.5,0.19
MSFT,320.92,0.99,+65.56%,1.51,323.49,63.6%,2023-05-26,322.5,2.57,325,1.58
TSLA,184.4,0.99,+65.56%,1.51,185.99,56.4%,2023-05-26,185,3.65,187.5,2.66
CRWD,146.02,1.58,+65.29%,2.42,147.58,59.4%,2023-05-26,146,3.25,150,1.67
NVDA,314.87,2.95,+64.84%,4.55,317.95,54.5%,2023-05-26,315,10.1,322.5,7.15
COIN,58.69,0.39,+63.93%,0.61,59.39,55.7%,2023-05-26,59,2.13,60,1.74
GOOGL,125.12,0.39,+63.93%,0.61,126.39,63.7%,2023-05-26,126,1.49,127,1.1
U,29.97,0.39,+63.93%,0.61,30.39,57.9%,2023-05-26,30,0.88,31,0.49
PANW,188.67,3.8,+61.29%,6.2,193.8,60.6%,2023-05-26,190,7.3,200,3.5
COIN,58.69,0.76,+61.29%,1.24,59.76,58.2%,2023-05-26,59,2.13,61,1.37
FCX,35.97,0.19,+61.29%,0.31,36.19,57.4%,2023-05-26,36,0.59,36.5,0.4
TSM,91.81,0.38,+61.29%,0.62,92.38,57.2%,2023-05-26,92,1.09,93,0.71
JPM,139.71,0.75,+60.00%,1.25,140.75,60.2%,2023-05-26,140,1.35,142,0.6
NVDA,314.87,3.75,+60.00%,6.25,318.75,55.6%,2023-05-26,315,10.1,325,6.35
META,252.46,1.86,+59.24%,3.14,254.36,57.7%,2023-05-26,252.5,3.7,257.5,1.84
ABNB,110.27,0.37,+58.73%,0.63,110.37,56.3%,2023-05-26,110,1.86,111,1.49
ROKU,54.94,1.11,+58.73%,1.89,56.11,62.0%,2023-05-26,55,1.71,58,0.6
NVDA,314.87,1.85,+58.73%,3.15,319.35,56.5%,2023-05-26,317.5,9,322.5,7.15
SCHW,51.73,0.37,+58.73%,0.63,52.37,61.0%,2023-05-26,52,0.81,53,0.44
GOOG,125.8,1.11,+58.73%,1.89,127.11,64.2%,2023-05-26,126,1.82,129,0.71
ABNB,110.27,0.74,+58.73%,1.26,110.74,59.2%,2023-05-26,110,1.86,112,1.12
XOM,106.78,0.74,+58.73%,1.26,107.74,62.1%,2023-05-26,107,1.17,109,0.43
AI,27.63,0.55,+57.89%,0.95,28.05,58.9%,2023-05-26,27.5,1.65,29,1.1
QCOM,104.96,0.73,+57.48%,1.27,105.73,58.2%,2023-05-26,105,1.33,107,0.6
AMD,108.18,0.73,+57.48%,1.27,109.73,57.7%,2023-05-26,109,2.08,111,1.35
NVDA,314.87,4.55,+57.23%,7.95,319.55,56.8%,2023-05-26,315,10.1,327.5,5.55
COIN,58.69,1.08,+56.25%,1.92,60.08,60.3%,2023-05-26,59,2.13,62,1.05
PARA,14.99,0.18,+56.25%,0.32,15.18,58.3%,2023-05-26,15,0.35,15.5,0.17
NVDA,314.87,0.9,+56.25%,1.6,318.4,55.1%,2023-05-26,317.5,9,320,8.1
CSCO,48.9,0.18,+56.25%,0.32,49.18,59.6%,2023-05-26,49,0.4,49.5,0.22
GOOG,125.8,0.36,+56.25%,0.64,127.36,66.4%,2023-05-26,127,1.35,128,0.99
ENPH,166.52,0.89,+55.28%,1.61,168.39,59.2%,2023-05-26,167.5,3,170,2.11
SHOP,63.66,0.71,+55.04%,1.29,64.71,61.5%,2023-05-26,64,1.37,66,0.66
GOOGL,125.12,1.42,+55.04%,2.58,126.42,64.0%,2023-05-26,125,1.99,129,0.57
SQ,59.9,0.71,+55.04%,1.29,60.71,59.7%,2023-05-26,60,1.31,62,0.6
NVDA,314.87,2.65,+54.64%,4.85,320.15,57.6%,2023-05-26,317.5,9,325,6.35
PANW,188.67,2.65,+54.64%,4.85,195.15,63.3%,2023-05-26,192.5,6.15,200,3.5
TSLA,184.4,1.76,+54.32%,3.24,186.76,59.4%,2023-05-26,185,3.65,190,1.89
TTD,68.45,0.35,+53.85%,0.65,69.35,60.1%,2023-05-26,69,1.28,70,0.93
WFC,40.37,0.35,+53.85%,0.65,40.85,62.8%,2023-05-26,40.5,0.54,41.5,0.19
GOOGL,125.12,0.7,+53.85%,1.3,126.7,66.4%,2023-05-26,126,1.49,128,0.79
ROKU,54.94,0.35,+53.85%,0.65,56.35,64.4%,2023-05-26,56,1.22,57,0.87
AI,27.63,0.7,+53.85%,1.3,28.2,60.4%,2023-05-26,27.5,1.65,29.5,0.95
FCX,35.97,0.35,+53.85%,0.65,36.35,61.3%,2023-05-26,36,0.59,37,0.24
MMM,99.06,0.35,+53.85%,0.65,100.35,66.9%,2023-05-26,100,0.88,101,0.53
BABA,86.33,0.35,+53.85%,0.65,87.35,59.0%,2023-05-26,87,1.5,88,1.15
PYPL,62.28,0.35,+53.85%,0.65,63.35,67.5%,2023-05-26,63,0.78,64,0.43
DVN,49.6,0.52,+53.06%,0.98,50.02,62.2%,2023-05-26,49.5,0.78,51,0.26
NVDA,314.87,5.2,+53.06%,9.8,320.2,57.7%,2023-05-26,315,10.1,330,4.9
PANW,188.67,5.18,+52.75%,9.82,195.18,63.3%,2023-05-26,190,7.3,205,2.12
TWLO,55.29,0.69,+52.67%,1.31,56.69,63.4%,2023-05-26,56,1.76,58,1.07
NVDA,314.87,3.45,+52.67%,6.55,320.95,58.8%,2023-05-26,317.5,9,327.5,5.55
ADBE,371.72,1.71,+51.98%,3.29,376.71,63.7%,2023-05-26,375,4.25,380,2.54
SNOW,180.52,1.7,+51.52%,3.3,186.7,61.4%,2023-05-26,185,6.5,190,4.8
MRO,23.33,0.17,+51.52%,0.33,23.67,62.5%,2023-05-26,23.5,0.36,24,0.19
INTC,29.95,0.34,+51.52%,0.66,30.34,62.5%,2023-05-26,30,0.48,31,0.14
UBER,39.97,0.17,+51.52%,0.33,40.67,65.5%,2023-05-26,40.5,0.56,41,0.39
RIVN,13.98,0.17,+51.52%,0.33,14.17,56.6%,2023-05-26,14,0.44,14.5,0.27
C,45.82,0.34,+51.52%,0.66,46.34,63.1%,2023-05-26,46,0.54,47,0.2
