Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
CVX,154.86,1.03,+70.07%,1.47,156.03,57.2%,2023-06-02,155,2.28,157.5,1.25
GOOGL,123.32,0.39,+63.93%,0.61,124.39,56.0%,2023-06-02,124,1.8,125,1.41
PFE,37.99,0.19,+61.29%,0.31,38.19,55.2%,2023-06-02,38,0.55,38.5,0.36
META,253.85,0.95,+61.29%,1.55,255.95,55.8%,2023-06-02,255,4.1,257.5,3.15
M,14.23,0.19,+61.29%,0.31,14.69,57.4%,2023-06-02,14.5,0.88,15,0.69
GM,32.43,0.19,+61.29%,0.31,32.69,55.0%,2023-06-02,32.5,0.55,33,0.36
VLO,113.38,0.38,+61.29%,0.62,113.38,55.7%,2023-05-26,113,1.15,114,0.77
OXY,58.75,0.37,+58.73%,0.63,59.37,58.4%,2023-06-02,59,0.85,60,0.48
ORCL,103.37,0.37,+58.73%,0.63,104.37,60.9%,2023-06-02,104,1.14,105,0.77
GOOG,124.03,0.37,+58.73%,0.63,125.37,57.9%,2023-06-02,125,1.69,126,1.32
COIN,57.04,0.37,+58.73%,0.63,57.37,55.1%,2023-05-26,57,1.14,58,0.77
MSFT,325.85,0.91,+57.23%,1.59,328.41,57.6%,2023-06-02,327.5,3.45,330,2.54
AMD,119.24,0.36,+56.25%,0.64,120.36,53.2%,2023-06-02,120,3,121,2.64
NFLX,362.85,1.8,+56.25%,3.2,366.8,54.8%,2023-06-02,365,6.45,370,4.65
GPS,7.44,0.18,+56.25%,0.32,7.68,57.5%,2023-05-26,7.5,0.49,8,0.31
NFLX,362.85,0.9,+56.25%,1.6,365.9,53.0%,2023-06-02,365,6.45,367.5,5.55
GOOGL,123.32,0.72,+56.25%,1.28,124.72,58.4%,2023-06-02,124,1.8,126,1.08
META,253.85,1.78,+55.28%,3.22,256.78,58.5%,2023-06-02,255,4.1,260,2.32
CRM,210.61,2.65,+54.64%,4.85,215.15,57.2%,2023-06-02,212.5,7.2,220,4.55
M,14.23,0.35,+53.85%,0.65,14.85,59.8%,2023-06-02,14.5,0.88,15.5,0.53
VLO,113.38,0.7,+53.85%,1.3,113.7,60.0%,2023-05-26,113,1.15,115,0.45
SQ,59.4,0.35,+53.85%,0.65,60.35,56.5%,2023-06-02,60,1.38,61,1.03
GOOG,124.03,0.69,+52.67%,1.31,125.69,60.2%,2023-06-02,125,1.69,127,1
TSLA,184.73,0.86,+52.44%,1.64,188.36,58.5%,2023-06-02,187.5,3.75,190,2.89
CRM,210.61,0.85,+51.52%,1.65,213.35,53.8%,2023-06-02,212.5,7.2,215,6.35
GM,32.43,0.34,+51.52%,0.66,32.84,58.6%,2023-06-02,32.5,0.55,33.5,0.21
XOM,106.01,0.34,+51.52%,0.66,107.34,61.8%,2023-06-02,107,1.2,108,0.86
DKNG,23.82,0.17,+51.52%,0.33,24.17,57.1%,2023-06-02,24,0.63,24.5,0.46
CVX,154.86,1.68,+50.60%,3.32,156.68,61.2%,2023-06-02,155,2.28,160,0.6
COIN,57.04,0.66,+49.25%,1.34,57.66,58.7%,2023-05-26,57,1.14,59,0.48
GOOGL,123.32,0.99,+49.25%,2.01,124.99,60.4%,2023-06-02,124,1.8,127,0.81
