Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue
BA,201.71,0.06,+0.81%,7.44,182.44,0.9940000000000001,2023-04-21,182.5,0.12,175.0,0.06,1.500000000000079
JPM,138.73,0.03,+1.01%,2.97,129.97,0.99,2023-04-21,130.0,0.09,127.0,0.06,-2.6645352591003757e-15
JPM,138.73,0.01,+1.01%,0.99,129.99,0.9890000000000001,2023-04-21,130.0,0.09,129.0,0.08,-0.09999999999998987
JPM,138.73,0.02,+1.01%,1.98,129.98,0.9890000000000001,2023-04-21,130.0,0.09,128.0,0.07,-0.19999999999997975
RIOT,13.48,0.42,+72.41%,0.58,12.58,0.575,2023-05-19,13.0,1.67,12.0,1.25,-0.5
XOM,116.05,0.02,+2.04%,0.98,109.98,0.975,2023-04-21,110.0,0.1,109.0,0.08,-0.500000000000002
GE,95.44,0.03,+1.52%,1.97,89.97,0.981,2023-04-21,90.0,0.09,88.0,0.06,-0.8000000000000034
MARA,11.97,0.34,+51.52%,0.66,11.16,0.6509999999999999,2023-04-21,11.5,0.63,10.5,0.29,-0.9000000000000092
MARA,11.97,0.18,+56.25%,0.32,11.32,0.621,2023-04-21,11.5,0.63,11.0,0.45,-0.9499999999999993
XOM,116.05,0.04,+2.04%,1.96,109.96,0.975,2023-04-21,110.0,0.1,108.0,0.06,-1.000000000000004
PYPL,76.53,0.02,+2.04%,0.98,70.98,0.965,2023-04-21,71.0,0.1,70.0,0.08,-1.5000000000000033
AMC,5.12,0.17,+51.52%,0.33,4.83,0.624,2023-04-21,5.0,0.36,4.5,0.19,-1.799999999999999
XOM,116.05,0.03,+3.09%,0.97,110.97,0.9490000000000001,2023-04-21,111.0,0.15,110.0,0.12,-2.0999999999999934
JPM,138.73,0.02,+1.01%,1.98,130.98,0.9790000000000001,2023-04-21,131.0,0.1,129.0,0.08,-2.1999999999999815
WFC,39.64,0.07,+16.28%,0.43,38.43,0.81,2023-04-21,38.5,0.17,38.0,0.1,-2.4999999999999973
OXY,64.48,0.02,+2.04%,0.98,60.98,0.9540000000000001,2023-04-21,61.0,0.08,60.0,0.06,-2.5999999999999925
BAC,29.52,0.2,+66.67%,0.3,29.3,0.5479999999999999,2023-04-21,29.5,0.71,29.0,0.51,-2.600000000000003
RIOT,13.48,0.32,+47.06%,0.68,12.68,0.652,2023-04-21,13.0,0.59,12.0,0.27,-2.799999999999997
SCHW,50.77,0.19,+61.29%,0.31,49.81,0.564,2023-04-21,50.0,2.04,49.5,1.85,-2.8000000000000025
RIOT,13.48,0.16,+47.06%,0.34,12.84,0.622,2023-04-21,13.0,0.59,12.5,0.43,-2.9000000000000004
