Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
UPST,13.54,0.86,+75.44%,1.14,12.64,0.604,2023-05-12,13.5,1.42,11.5,0.56,weekly,0.068,0.07906976744186041
UPST,13.54,0.68,+82.93%,0.82,12.82,0.583,2023-05-12,13.5,1.42,12.0,0.74,weekly,0.0544999999999999,0.08014705882352935
UPST,13.54,1.0,+66.67%,1.5,12.5,0.62,2023-05-12,13.5,1.42,11.0,0.42,weekly,0.0499999999999999,0.04999999999999999
UPST,13.54,0.6,+66.67%,0.9,12.4,0.632,2023-05-12,13.0,1.16,11.5,0.56,weekly,0.0479999999999999,0.08000000000000002
UPST,13.54,0.48,+92.31%,0.52,13.02,0.5589999999999999,2023-05-12,13.5,1.42,12.5,0.94,weekly,0.0389999999999998,0.08124999999999984
UPST,13.54,0.74,+58.73%,1.26,12.26,0.648,2023-05-12,13.0,1.16,11.0,0.42,weekly,0.036,0.048648648648648755
UPST,13.54,0.42,+72.41%,0.58,12.58,0.611,2023-05-12,13.0,1.16,12.0,0.74,weekly,0.0309999999999999,0.0738095238095238
UPST,13.54,0.36,+56.25%,0.64,12.14,0.662,2023-05-12,12.5,0.92,11.5,0.56,weekly,0.022,0.06111111111111119
UPST,13.54,0.5,+50.00%,1.0,12.0,0.6779999999999999,2023-05-12,12.5,0.92,11.0,0.42,weekly,0.0169999999999999,0.03399999999999981
UPST,13.54,0.22,+78.57%,0.28,12.78,0.5870000000000001,2023-05-12,13.0,1.16,12.5,0.94,weekly,0.0135,0.0613636363636365
MSFT,306.85,0.1,+4.17%,2.4,287.4,0.963,2023-05-19,287.5,0.52,285.0,0.42,monthly,0.0074999999999999,0.07499999999999922
UPST,13.54,0.24,+92.31%,0.26,13.26,0.532,2023-05-12,13.5,1.42,13.0,1.18,weekly,0.006,0.025000000000000033
