Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
GME,24.73,0.99,+98.02%,1.01,23.51,0.6,2023-06-09,24.5,1.79,22.5,0.8,0.1899999999999999,0.19191919191919188
GME,24.73,0.7,+87.50%,0.8,23.3,0.617,2023-06-09,24.0,1.5,22.5,0.8,0.1254999999999999,0.17928571428571416
GME,24.73,0.43,+75.44%,0.57,23.07,0.635,2023-06-09,23.5,1.23,22.5,0.8,0.065,0.15116279069767444
DOCU,58.99,1.63,+68.78%,2.37,56.37,0.606,2023-06-09,58.0,3.35,54.0,1.72,0.0539999999999998,0.03312883435582816
DOCU,58.99,1.34,+50.38%,2.66,54.66,0.674,2023-06-09,56.0,2.44,52.0,1.1,0.0360000000000001,0.026865671641791173
DOCU,58.99,2.25,+60.00%,3.75,55.75,0.631,2023-06-09,58.0,3.35,52.0,1.1,0.036,0.015999999999999997
DOCU,58.99,1.26,+72.41%,1.74,56.74,0.591,2023-06-09,58.0,3.35,55.0,2.09,0.0329999999999999,0.02619047619047609
DOCU,58.99,0.94,+45.63%,2.06,54.06,0.6970000000000001,2023-06-09,55.0,2.04,52.0,1.1,0.0310000000000001,0.03297872340425548
DOCU,58.99,0.72,+56.25%,1.28,55.28,0.65,2023-06-09,56.0,2.44,54.0,1.72,0.02,0.027777777777777877
DOCU,58.99,1.59,+46.63%,3.41,54.41,0.684,2023-06-09,56.0,2.44,51.0,0.85,0.0100000000000002,0.006289308176100861
GME,24.73,0.2,+66.67%,0.3,23.3,0.617,2023-06-09,23.5,1.23,23.0,1.03,0.0085,0.04250000000000006
GME,24.73,0.18,+56.25%,0.32,22.82,0.6559999999999999,2023-06-09,23.0,0.98,22.5,0.8,0.0079999999999999,0.04444444444444419
TGT,132.49,0.03,+3.09%,0.97,125.97,0.967,2023-06-09,126.0,0.11,125.0,0.08,-0.0029999999999999,-0.10000000000000099
NVDA,386.64,0.04,+0.54%,7.46,352.46,0.994,2023-06-09,352.5,0.1,345.0,0.06,-0.0049999999999992,-0.12500000000000105
NVDA,386.64,0.01,+0.40%,2.49,352.49,0.994,2023-06-09,352.5,0.1,350.0,0.09,-0.0049999999999997,-0.5000000000000016
DOCU,58.99,0.32,+47.06%,0.68,54.68,0.6729999999999999,2023-06-09,55.0,2.04,54.0,1.72,-0.007,-0.021875000000000276
TSLA,220.42,1.1,+78.57%,1.4,218.9,0.556,2023-06-09,220.0,3.95,217.5,2.85,-0.0099999999999997,-0.009090909090908917
DOCU,58.99,2.5,+55.56%,4.5,55.5,0.6409999999999999,2023-06-09,58.0,3.35,51.0,0.85,-0.0130000000000005,-0.005200000000000193
DOCU,58.99,0.35,+53.85%,0.65,55.65,0.635,2023-06-09,56.0,2.44,55.0,2.09,-0.015,-0.04285714285714291
U,36.01,0.42,+72.41%,0.58,35.58,0.565,2023-06-09,36.0,0.99,35.0,0.57,-0.015,-0.035714285714285865
NVDA,386.64,0.01,+0.40%,2.49,357.49,0.983,2023-06-09,357.5,0.16,355.0,0.15,-0.0325,-3.2500000000000044
C,47.3,0.07,+16.28%,0.43,46.43,0.792,2023-06-09,46.5,0.16,46.0,0.09,-0.0339999999999999,-0.48571428571428543
TSLA,220.42,0.87,+53.37%,1.63,216.63,0.638,2023-06-09,217.5,2.83,215.0,1.96,-0.0349999999999999,-0.040229885057471236
SHOP,63.71,0.02,+2.04%,0.98,58.98,0.94,2023-06-09,59.0,0.08,58.0,0.06,-0.04,-2.000000000000002
NVDA,386.64,0.06,+2.46%,2.44,362.44,0.959,2023-06-09,362.5,0.28,360.0,0.22,-0.0424999999999998,-0.7083333333333348
COIN,51.15,0.06,+13.64%,0.44,46.44,0.792,2023-06-09,46.5,0.89,46.0,0.83,-0.0439999999999999,-0.7333333333333332
UPST,30.59,0.1,+25.00%,0.4,28.9,0.706,2023-06-09,29.0,0.38,28.5,0.28,-0.047,-0.4700000000000002
DOCU,58.99,1.8,+42.86%,4.2,54.2,0.6920000000000001,2023-06-09,56.0,2.44,50.0,0.64,-0.0479999999999998,-0.02666666666666647
AMD,123.43,0.39,+63.93%,0.61,122.61,0.562,2023-06-09,123.0,1.6,122.0,1.21,-0.0479999999999999,-0.12307692307692293
AMD,123.43,0.32,+47.06%,0.68,121.68,0.632,2023-06-09,122.0,1.19,121.0,0.87,-0.048,-0.14999999999999994
GOOG,128.45,0.34,+51.52%,0.66,127.66,0.611,2023-06-09,128.0,0.87,127.0,0.53,-0.049,-0.1441176470588236
CZR,48.24,0.03,+3.09%,0.97,44.97,0.921,2023-06-09,45.0,0.1,44.0,0.07,-0.049,-1.633333333333332
SHOP,63.71,0.06,+6.38%,0.94,59.94,0.8909999999999999,2023-06-09,60.0,0.15,59.0,0.09,-0.049,-0.8166666666666684
AMD,123.43,0.25,+33.33%,0.75,120.75,0.6970000000000001,2023-06-09,121.0,0.86,120.0,0.61,-0.0529999999999999,-0.2119999999999998
GOOGL,127.92,0.28,+38.89%,0.72,126.72,0.665,2023-06-09,127.0,0.68,126.0,0.4,-0.0549999999999999,-0.19642857142857112
UPST,30.59,0.12,+31.58%,0.38,29.38,0.65,2023-06-09,29.5,0.52,29.0,0.4,-0.0549999999999999,-0.4583333333333333
UPST,30.59,0.33,+49.25%,0.67,29.67,0.615,2023-06-09,30.0,0.73,29.0,0.4,-0.0549999999999999,-0.1666666666666667
AMZN,126.62,0.33,+49.25%,0.67,125.67,0.612,2023-06-09,126.0,0.93,125.0,0.6,-0.058,-0.17575757575757578
ABNB,118.18,0.1,+11.11%,0.9,113.9,0.84,2023-06-09,114.0,0.37,113.0,0.27,-0.06,-0.6000000000000002
TSM,99.76,0.29,+40.85%,0.71,98.71,0.648,2023-06-09,99.0,0.68,98.0,0.39,-0.0619999999999999,-0.2137931034482757
AMD,123.43,0.18,+21.95%,0.82,119.82,0.757,2023-06-09,120.0,0.6,119.0,0.42,-0.063,-0.3499999999999999
SQ,65.85,0.18,+21.95%,0.82,63.82,0.755,2023-06-09,64.0,0.44,63.0,0.26,-0.065,-0.36111111111111105
GOOG,128.45,0.21,+26.58%,0.79,126.79,0.723,2023-06-09,127.0,0.52,126.0,0.31,-0.067,-0.3190476190476193
AMD,123.43,0.12,+13.64%,0.88,118.88,0.8109999999999999,2023-06-09,119.0,0.41,118.0,0.29,-0.069,-0.5750000000000006
SHOP,63.71,0.11,+12.36%,0.89,60.89,0.82,2023-06-09,61.0,0.27,60.0,0.16,-0.07,-0.6363636363636368
TSLA,220.42,1.99,+66.11%,3.01,218.01,0.588,2023-06-09,220.0,3.95,215.0,1.96,-0.0700000000000002,-0.03517587939698499
TSLA,220.42,0.64,+34.41%,1.86,214.36,0.715,2023-06-09,215.0,1.95,212.5,1.31,-0.0725000000000001,-0.11328125000000015
TGT,132.49,0.24,+31.58%,0.76,130.76,0.684,2023-06-09,131.0,0.81,130.0,0.57,-0.0759999999999999,-0.31666666666666654
ABNB,118.18,0.14,+16.28%,0.86,114.86,0.779,2023-06-09,115.0,0.55,114.0,0.41,-0.0809999999999999,-0.5785714285714283
COIN,51.15,0.08,+19.05%,0.42,48.42,0.6779999999999999,2023-06-09,48.5,1.32,48.0,1.24,-0.081,-1.0125000000000002
