Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
TSLA,185,1.1,+78.57%,1.4,183.9,52.3%,2023-04-21,185,7.55,182.5,6.45
RIOT,13.48,0.42,+72.41%,0.58,12.58,57.5%,2023-05-19,13,1.67,12,1.25
META,221.49,2,+66.67%,3,218,54.3%,2023-05-19,220,11.65,215,9.65
BAC,29.52,0.2,+66.67%,0.3,29.3,54.8%,2023-04-21,29.5,0.71,29,0.51
META,221.49,3.85,+62.60%,6.15,216.15,56.6%,2023-05-19,220,11.65,210,7.8
SCHW,50.77,0.19,+61.29%,0.31,49.81,56.4%,2023-04-21,50,2.04,49.5,1.85
FCX,43.16,0.38,+61.29%,0.62,42.62,54.1%,2023-05-19,43,1.91,42,1.53
SCHW,50.77,0.38,+61.29%,0.62,49.62,57.6%,2023-04-21,50,2.04,49,1.66
RBLX,45.7,0.38,+61.29%,0.62,45.12,56.0%,2023-04-21,45.5,1.39,44.5,1.01
COIN,69.91,0.75,+60.00%,1.25,68.25,58.1%,2023-04-21,69,2.82,67,2.07
SCHW,50.77,0.56,+59.57%,0.94,49.44,58.8%,2023-04-21,50,2.04,48.5,1.48
CRWD,135.77,1.85,+58.73%,3.15,133.15,56.0%,2023-05-19,135,6.35,130,4.5
COIN,69.91,1.09,+57.07%,1.91,67.91,59.8%,2023-04-21,69,2.82,66,1.73
TSLA,185,0.3,+56.60%,0.53,183.03,54.1%,2023-04-21,183.33,6.75,182.5,6.45
BAC,29.52,0.36,+56.25%,0.64,29.14,58.2%,2023-04-21,29.5,0.71,28.5,0.35
RBLX,45.7,0.18,+56.25%,0.32,45.32,54.0%,2023-04-21,45.5,1.39,45,1.21
MARA,11.97,0.18,+56.25%,0.32,11.32,62.1%,2023-04-21,11.5,0.63,11,0.45
AXP,163.22,0.89,+55.28%,1.61,161.61,57.2%,2023-04-21,162.5,3.1,160,2.21
SCHW,50.77,0.71,+55.04%,1.29,49.29,59.8%,2023-04-21,50,2.04,48,1.33
COIN,69.91,1.42,+55.04%,2.58,67.58,61.4%,2023-04-21,69,2.82,65,1.4
META,221.49,0.88,+54.32%,1.62,219.12,60.7%,2023-04-21,220,2.74,217.5,1.86
BX,85.32,1.76,+54.32%,3.24,83.24,57.9%,2023-05-19,85,4.3,80,2.54
NFLX,338.63,5.25,+53.85%,9.75,324.75,60.8%,2023-05-19,330,15.8,315,10.55
SCHW,50.77,0.87,+53.37%,1.63,49.13,60.9%,2023-04-21,50,2.04,47.5,1.17
FCX,43.16,0.34,+51.52%,0.66,42.66,57.3%,2023-04-21,43,0.97,42,0.63
MARA,11.97,0.34,+51.52%,0.66,11.16,65.1%,2023-04-21,11.5,0.63,10.5,0.29
AMC,5.12,0.17,+51.52%,0.33,4.83,62.4%,2023-04-21,5,0.36,4.5,0.19
UAL,41.67,0.51,+51.52%,0.99,40.99,58.5%,2023-04-21,41.5,1.15,40,0.64
CRWD,135.77,3.38,+51.06%,6.62,131.62,59.4%,2023-05-19,135,6.35,125,2.97
NFLX,338.63,6.65,+49.81%,13.35,323.35,61.9%,2023-05-19,330,15.8,310,9.15
AAPL,165.21,1.65,+49.25%,3.35,163.35,55.8%,2023-05-19,165,4.85,160,3.2
UAL,41.67,0.33,+49.25%,0.67,40.67,57.2%,2023-05-19,41,1.78,40,1.45
FCX,43.16,0.99,+49.25%,2.01,42.01,58.7%,2023-05-19,43,1.91,40,0.92
SCHW,50.77,0.99,+49.25%,2.01,49.01,61.7%,2023-04-21,50,2.04,47,1.05
AXP,163.22,1.64,+48.81%,3.36,160.86,60.5%,2023-04-21,162.5,3.1,157.5,1.46
NFLX,338.63,2.45,+48.51%,5.05,325.05,64.5%,2023-04-21,327.5,9.45,320,7
ENPH,208.9,4.9,+48.51%,10.1,195.1,62.9%,2023-05-19,200,12.45,185,7.55
COIN,69.91,0.98,+48.51%,2.02,67.02,64.1%,2023-04-21,68,2.38,65,1.4
COIN,69.91,0.65,+48.15%,1.35,67.35,62.5%,2023-04-21,68,2.38,66,1.73
COIN,69.91,1.62,+47.93%,3.38,67.38,62.3%,2023-04-21,69,2.82,64,1.2
RIOT,13.48,0.16,+47.06%,0.34,12.84,62.2%,2023-04-21,13,0.59,12.5,0.43
BIDU,128.75,1.6,+47.06%,3.4,123.4,61.8%,2023-05-19,125,5.15,120,3.55
SHOP,46.39,0.16,+47.06%,0.34,45.84,57.9%,2023-04-21,46,0.89,45.5,0.73
AMZN,102.51,0.32,+47.06%,0.68,101.68,58.3%,2023-04-21,102,1.27,101,0.95
SHOP,46.39,0.32,+47.06%,0.68,45.68,60.2%,2023-04-21,46,0.89,45,0.57
RIOT,13.48,0.32,+47.06%,0.68,12.68,65.2%,2023-04-21,13,0.59,12,0.27
WFC,39.64,0.16,+47.06%,0.34,39.34,58.5%,2023-04-21,39.5,0.47,39,0.31
XOM,116.05,1.57,+45.77%,3.43,113.43,61.7%,2023-05-19,115,3.15,110,1.58
GME,22.46,0.39,+45.35%,0.86,20.86,66.4%,2023-05-19,21.25,1.05,20,0.66
COIN,69.91,1.87,+45.28%,4.13,67.13,63.5%,2023-04-21,69,2.82,63,0.95
SE,83.52,1.55,+44.93%,3.45,78.45,63.0%,2023-05-19,80,4.45,75,2.9
COIN,69.91,0.31,+44.93%,0.69,67.69,60.8%,2023-04-21,68,2.38,67,2.07
PYPL,76.53,0.31,+44.93%,0.69,75.69,60.5%,2023-04-21,76,0.96,75,0.65
AAPL,165.21,0.77,+44.51%,1.73,164.23,59.4%,2023-04-21,165,1.52,162.5,0.75
CVX,172.44,1.53,+44.09%,3.47,168.47,62.2%,2023-05-19,170,4.1,165,2.57
NFLX,338.63,9.15,+43.88%,20.85,320.85,63.8%,2023-05-19,330,15.8,300,6.65
AMAT,112.9,0.6,+42.86%,1.4,111.4,61.1%,2023-04-21,112,1.67,110,1.07
MRNA,157.1,1.5,+42.86%,3.5,153.5,61.7%,2023-04-21,155,3.7,150,2.2
MARA,11.97,0.45,+42.86%,1.05,11.05,67.1%,2023-04-21,11.5,0.63,10,0.18
MRNA,157.1,0.75,+42.86%,1.75,154.25,59.3%,2023-04-21,155,3.7,152.5,2.95
FRC,13.12,1.95,+42.86%,4.55,10.55,65.8%,2023-05-19,12.5,2.5,6,0.55
META,221.49,1.49,+42.45%,3.51,218.51,63.3%,2023-04-21,220,2.74,215,1.25
COIN,69.91,1.18,+41.84%,2.82,66.82,65.0%,2023-04-21,68,2.38,64,1.2
AMAT,112.9,1.46,+41.24%,3.54,108.54,62.7%,2023-05-19,110,3.95,105,2.49
COIN,69.91,2.04,+41.13%,4.96,66.96,64.3%,2023-04-21,69,2.82,62,0.78
WFC,39.64,0.29,+40.85%,0.71,39.21,62.1%,2023-04-21,39.5,0.47,38.5,0.18
UAL,41.67,0.29,+40.85%,0.71,40.71,62.0%,2023-04-21,41,0.93,40,0.64
BAC,29.52,0.29,+40.85%,0.71,28.71,60.8%,2023-05-19,29,0.88,28,0.59
CRWD,135.77,1.44,+40.45%,3.56,133.56,62.6%,2023-04-21,135,2.31,130,0.87
AAPL,165.21,2.87,+40.25%,7.13,162.13,59.6%,2023-05-19,165,4.85,155,1.98
COIN,69.91,1.43,+40.06%,3.57,66.57,66.2%,2023-04-21,68,2.38,63,0.95
AXP,163.22,2.14,+39.93%,5.36,160.36,62.7%,2023-04-21,162.5,3.1,155,0.96
FCX,43.16,0.57,+39.86%,1.43,41.43,63.1%,2023-05-19,42,1.49,40,0.92
ABBV,161.59,1.39,+38.50%,3.61,158.61,61.4%,2023-05-19,160,3.15,155,1.76
DVN,55.7,1.38,+38.12%,3.62,53.62,62.9%,2023-05-19,55,2.16,50,0.78
PYPL,76.53,0.55,+37.93%,1.45,75.45,63.4%,2023-04-21,76,0.96,74,0.41
SCHW,50.77,0.41,+37.61%,1.09,48.59,64.4%,2023-04-21,49,1.58,47.5,1.17
OXY,64.48,0.68,+37.36%,1.82,61.82,65.3%,2023-05-19,62.5,1.73,60,1.05
ENPH,208.9,1.35,+36.99%,3.65,203.65,64.7%,2023-04-21,205,3.7,200,2.35
GOOGL,108.87,0.27,+36.99%,0.73,107.73,61.9%,2023-04-21,108,1.05,107,0.78
SE,83.52,2.68,+36.61%,7.32,77.32,65.8%,2023-05-19,80,4.45,70,1.77
COIN,69.91,1.6,+36.36%,4.4,66.4,67.0%,2023-04-21,68,2.38,62,0.78
ENPH,208.9,1.3,+35.14%,3.7,188.7,68.8%,2023-05-19,190,8.85,185,7.55
AXP,163.22,0.65,+35.14%,1.85,159.35,67.0%,2023-04-21,160,2.11,157.5,1.46
GOOGL,108.87,0.52,+35.14%,1.48,107.48,64.5%,2023-04-21,108,1.05,106,0.53
GS,336.92,3.9,+35.14%,11.1,331.1,63.6%,2023-04-21,335,5.55,320,1.65
LVS,58.25,1.3,+35.14%,3.7,56.2,62.2%,2023-05-19,57.5,2.16,52.5,0.86
ENPH,208.9,2.6,+35.14%,7.4,187.4,70.0%,2023-05-19,190,8.85,180,6.25
SCHW,50.77,0.63,+33.69%,1.87,46.87,68.7%,2023-05-19,47.5,1.95,45,1.32
COIN,69.91,0.25,+33.33%,0.75,65.75,69.9%,2023-04-21,66,1.65,65,1.4
STT,80.03,1.25,+33.33%,3.75,78.75,59.8%,2023-04-21,80,1.8,75,0.55
WYNN,110.99,0.25,+33.33%,0.75,109.75,60.2%,2023-04-21,110,1.39,109,1.14
WFC,39.64,0.37,+32.74%,1.13,39.13,64.3%,2023-04-21,39.5,0.47,38,0.1
AAPL,165.21,3.65,+32.16%,11.35,161.35,62.0%,2023-05-19,165,4.85,150,1.2
WYNN,110.99,0.73,+32.16%,2.27,109.27,64.0%,2023-04-21,110,1.39,107,0.66
HOOD,10,0.12,+31.58%,0.38,9.88,59.1%,2023-04-21,10,0.19,9.5,0.07
NFLX,338.63,0.6,+31.58%,1.9,326.9,62.5%,2023-04-21,327.5,9.45,325,8.85
