Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
RIOT,12.93,0.45,+81.82%,0.55,11.55,59.6%,2023-06-16,12,1.86,11,1.41,monthly
PBR,12.11,0.42,+72.41%,0.58,11.58,61.6%,2023-05-19,12,0.85,11,0.43,monthly
NVDA,270.02,2.1,+72.41%,2.9,267.9,52.6%,2023-05-19,270,12.45,265,10.35,monthly
NVDA,270.02,3.95,+65.29%,6.05,266.05,54.9%,2023-05-19,270,12.45,260,8.5,monthly
SNOW,145.26,1.95,+63.93%,3.05,143.05,54.1%,2023-05-19,145,8.15,140,6.2,monthly
TSLA,187.04,0.65,+63.73%,1.02,186.02,51.0%,2023-06-16,186.67,15.55,185,14.9,monthly
ENPH,224.92,3.85,+62.60%,6.15,216.15,57.9%,2023-05-19,220,14.9,210,11.05,monthly
NVDA,270.02,1.91,+61.81%,3.09,268.09,57.3%,2023-04-21,270,4.1,265,2.19,monthly
NFLX,332.72,7.6,+61.29%,12.4,322.4,58.3%,2023-05-19,330,17.9,310,10.3,monthly
JD,38.05,0.94,+60.26%,1.56,36.56,58.2%,2023-06-16,37.5,2.48,35,1.54,monthly
COIN,67.72,0.75,+60.00%,1.25,66.25,58.9%,2023-04-21,67,2.27,65,1.52,monthly
TXN,180.05,1.85,+58.73%,3.15,178.15,55.2%,2023-05-19,180,6,175,4.15,monthly
META,218.86,1.85,+58.73%,3.15,213.15,56.1%,2023-06-16,215,12.3,210,10.45,monthly
UAL,42.38,0.36,+56.25%,0.64,41.64,55.7%,2023-05-19,42,1.79,41,1.43,monthly
JD,38.05,0.18,+56.25%,0.32,37.82,55.1%,2023-04-21,38,0.64,37.5,0.46,monthly
SCHW,52.77,0.9,+56.25%,1.6,51.6,57.5%,2023-05-19,52.5,2.33,50,1.43,monthly
NVDA,270.02,0.9,+56.25%,1.6,269.1,53.5%,2023-04-21,270,4.1,267.5,3.2,monthly
ENPH,224.92,7.15,+55.64%,12.85,212.85,60.9%,2023-05-19,220,14.9,200,7.75,monthly
CVX,170.92,1.78,+55.28%,3.22,168.22,58.8%,2023-05-19,170,4.5,165,2.72,monthly
AA,40.8,0.35,+53.85%,0.65,40.15,57.5%,2023-04-21,40.5,1.18,39.5,0.83,monthly
COP,105.61,1.75,+53.85%,3.25,103.25,56.9%,2023-06-16,105,5,100,3.25,monthly
OXY,62.94,0.87,+53.37%,1.63,61.63,58.2%,2023-05-19,62.5,2.22,60,1.35,monthly
AA,40.8,0.52,+53.06%,0.98,39.98,59.5%,2023-04-21,40.5,1.18,39,0.66,monthly
JD,38.05,0.86,+52.44%,1.64,36.64,60.1%,2023-05-19,37.5,1.86,35,1,monthly
COIN,67.72,1.03,+52.28%,1.97,65.97,60.5%,2023-04-21,67,2.27,64,1.24,monthly
AAPL,165.23,1.71,+51.98%,3.29,163.29,56.3%,2023-05-19,165,4.65,160,2.94,monthly
DIS,100.3,0.34,+51.52%,0.66,99.66,58.4%,2023-04-21,100,1.02,99,0.68,monthly
JD,38.05,0.34,+51.52%,0.66,37.66,58.6%,2023-04-21,38,0.64,37,0.3,monthly
BABA,96.42,0.34,+51.52%,0.66,95.66,56.7%,2023-04-21,96,1.5,95,1.16,monthly
UAL,42.38,0.68,+51.52%,1.32,41.32,58.1%,2023-05-19,42,1.79,40,1.11,monthly
BAC,30.37,0.17,+51.52%,0.33,29.83,61.8%,2023-04-21,30,0.52,29.5,0.35,monthly
SNOW,145.26,5,+50.00%,10,140,59.7%,2023-05-19,145,8.15,130,3.15,monthly
BAC,30.37,0.33,+49.25%,0.67,29.67,57.7%,2023-06-16,30,1.22,29,0.89,monthly
NFLX,332.72,3.3,+49.25%,6.7,316.7,62.8%,2023-05-19,320,13.6,310,10.3,monthly
FRC,13.14,1.15,+48.94%,2.35,11.35,61.3%,2023-05-19,12.5,2.3,9,1.15,monthly
COIN,67.72,1.3,+48.15%,2.7,65.7,62.1%,2023-04-21,67,2.27,63,0.97,monthly
COIN,67.72,0.32,+47.06%,0.68,65.68,62.3%,2023-04-21,66,1.84,65,1.52,monthly
NFLX,332.72,1.6,+47.06%,3.4,318.4,61.5%,2023-05-19,320,13.6,315,12,monthly
FCX,42.12,0.32,+47.06%,0.68,40.68,61.5%,2023-05-19,41,1.42,40,1.1,monthly
MS,89.29,0.32,+47.06%,0.68,88.68,55.2%,2023-04-21,89,1.67,88,1.35,monthly
NFLX,332.72,0.8,+47.06%,1.7,326.7,56.4%,2023-04-21,327.5,12,325,11.2,monthly
MS,89.29,0.64,+47.06%,1.36,88.36,57.9%,2023-04-21,89,1.67,87,1.03,monthly
C,49.69,0.48,+47.06%,1.02,48.52,59.4%,2023-06-16,49,1.67,47.5,1.19,monthly
ENPH,224.92,9.55,+46.70%,20.45,210.45,63.0%,2023-05-19,220,14.9,190,5.35,monthly
AMAT,111.79,1.59,+46.63%,3.41,108.41,60.6%,2023-05-19,110,4.05,105,2.46,monthly
SNOW,145.26,1.58,+46.20%,3.42,143.42,59.6%,2023-04-21,145,2.79,140,1.21,monthly
C,49.69,0.47,+45.63%,1.03,48.53,63.1%,2023-05-19,49,1.18,47.5,0.71,monthly
DAL,34.59,0.31,+44.93%,0.69,33.69,61.1%,2023-05-19,34,0.96,33,0.65,monthly
BAC,30.37,0.31,+44.93%,0.69,29.69,59.6%,2023-05-19,30,0.88,29,0.57,monthly
PYPL,77.33,0.31,+44.93%,0.69,76.69,59.9%,2023-04-21,77,0.83,76,0.52,monthly
MS,89.29,0.46,+44.23%,1.04,88.54,56.4%,2023-04-21,89,1.67,87.5,1.21,monthly
RBLX,40.21,0.46,+44.23%,1.04,39.54,60.8%,2023-04-21,40,0.83,38.5,0.37,monthly
TSLA,187.04,2.55,+44.12%,5.78,170.78,65.9%,2023-06-16,173.33,9.95,165,7.4,monthly
BAC,30.37,0.61,+43.88%,1.39,29.39,60.8%,2023-06-16,30,1.22,28,0.61,monthly
NFLX,332.72,6.05,+43.37%,13.95,313.95,65.0%,2023-05-19,320,13.6,300,7.55,monthly
SCHW,52.77,1.51,+43.27%,3.49,50.99,61.4%,2023-05-19,52.5,2.33,47.5,0.82,monthly
TSLA,187.04,0.25,+43.10%,0.58,183.08,59.0%,2023-04-21,183.33,5.2,182.5,4.95,monthly
