Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
PBR,13.15,0.29,+138.10%,0.21,12.71,64.5%,2023-06-16,13,0.58,12.5,0.29
ROKU,68.54,0.49,+96.08%,0.51,68.51,58.2%,2023-06-09,69,1.48,68,0.99
DVN,50.12,0.47,+88.68%,0.53,49.53,59.6%,2023-06-16,50,1.28,49,0.81
PBR,13.15,0.46,+85.19%,0.54,12.54,69.8%,2023-06-16,13,0.58,12,0.12
BABA,86.43,0.46,+85.19%,0.54,85.54,56.4%,2023-06-16,86,1.84,85,1.38
DOCU,58.59,1.35,+81.82%,1.65,56.65,56.8%,2023-06-09,58,3.85,55,2.5
ROKU,68.54,1.79,+81.00%,2.21,67.21,60.7%,2023-06-16,69,3.1,65,1.31
UPST,33.04,0.44,+78.57%,0.56,31.56,59.0%,2023-06-16,32,1.83,31,1.39
DOCU,58.59,0.88,+78.57%,1.12,57.12,54.9%,2023-06-09,58,3.85,56,2.97
DOCU,58.59,1.73,+76.21%,2.27,56.27,58.2%,2023-06-09,58,3.85,54,2.12
NVDA,387.23,2.15,+75.44%,2.85,382.85,56.6%,2023-06-16,385,8.7,380,6.55
DOCU,58.59,0.85,+73.91%,1.15,56.15,58.7%,2023-06-09,57,3.35,55,2.5
DOCU,58.59,2.12,+73.61%,2.88,55.88,59.7%,2023-06-09,58,3.85,53,1.73
ROKU,68.54,2.1,+72.41%,2.9,66.9,62.4%,2023-06-16,69,3.1,64,1
UPST,33.04,0.83,+70.94%,1.17,31.17,61.6%,2023-06-16,32,1.83,30,1
DOCU,58.59,1.03,+70.07%,1.47,56.47,56.9%,2023-06-16,57.5,3.9,55,2.87
AMD,121.19,1.64,+69.49%,2.36,118.36,59.1%,2023-06-16,120,3.95,116,2.31
NFLX,405.95,2.05,+69.49%,2.95,402.95,54.8%,2023-06-16,405,8.6,400,6.55
DOCU,58.59,1.23,+69.49%,1.77,55.77,60.1%,2023-06-09,57,3.35,54,2.12
AMD,121.19,0.82,+69.49%,1.18,118.18,59.7%,2023-06-16,119,3.5,117,2.68
DOCU,58.59,2.44,+68.54%,3.56,55.56,61.0%,2023-06-09,58,3.85,52,1.41
DOCU,58.59,1.62,+68.07%,2.38,55.38,61.6%,2023-06-09,57,3.35,53,1.73
DVN,50.12,0.81,+68.07%,1.19,49.19,64.3%,2023-06-16,50,1.28,48,0.47
DVN,50.12,0.2,+66.67%,0.3,49.3,62.8%,2023-06-16,49.5,1.01,49,0.81
MRK,110.26,0.4,+66.67%,0.6,109.6,56.7%,2023-06-16,110,1.41,109,1.01
AI,36.64,0.2,+66.67%,0.3,36.3,54.1%,2023-06-09,36.5,0.85,36,0.65
DOCU,58.59,1.8,+66.67%,2.7,55.7,59.6%,2023-06-16,57.5,3.9,53,2.1
UPST,33.04,1,+66.67%,1.5,31,62.7%,2023-06-16,32,1.83,29.5,0.83
AMD,121.19,0.4,+66.67%,0.6,118.6,58.2%,2023-06-16,119,3.5,118,3.1
INTC,31.69,0.2,+66.67%,0.3,31.3,57.9%,2023-06-16,31.5,0.65,31,0.45
NVDA,387.23,1,+66.67%,1.5,381.5,58.8%,2023-06-16,382.5,7.55,380,6.55
DOCU,58.59,2,+66.67%,3,55.5,60.3%,2023-06-16,57.5,3.9,52.5,1.9
DOCU,58.59,0.4,+66.67%,0.6,57.6,53.1%,2023-06-09,58,3.85,57,3.45
AMD,121.19,1.19,+65.75%,1.81,117.81,61.0%,2023-06-16,119,3.5,116,2.31
AMD,121.19,1.98,+65.56%,3.02,118.02,60.2%,2023-06-16,120,3.95,115,1.97
DOCU,58.59,2.74,+64.32%,4.26,55.26,62.1%,2023-06-09,58,3.85,51,1.11
XOM,108.09,0.39,+63.93%,0.61,107.61,57.1%,2023-06-16,108,1.48,107,1.09
DOCU,58.59,1.94,+63.40%,3.06,55.06,62.9%,2023-06-09,57,3.35,52,1.41
ORCL,107.47,0.77,+62.60%,1.23,106.23,55.1%,2023-06-16,107,3,105,2.23
AMD,121.19,1.53,+61.94%,2.47,117.47,62.1%,2023-06-16,119,3.5,115,1.97
UPST,33.04,1.14,+61.29%,1.86,30.86,63.6%,2023-06-16,32,1.83,29,0.69
SNOW,174.27,0.95,+61.29%,1.55,171.55,56.6%,2023-06-16,172.5,4.35,170,3.4
DOCU,58.59,1.14,+61.29%,1.86,54.86,63.6%,2023-06-09,56,2.87,53,1.73
DOCU,58.59,0.38,+61.29%,0.62,56.62,56.9%,2023-06-09,57,3.35,56,2.97
SCHW,55.3,0.38,+61.29%,0.62,54.62,59.9%,2023-06-16,55,1.05,54,0.67
TSLA,233.46,1.25,+60.10%,2.08,228.75,59.3%,2023-06-16,230,5.5,226.67,4.25
DOCU,58.59,0.75,+60.00%,1.25,55.25,62.1%,2023-06-09,56,2.87,54,2.12
DOCU,58.59,2.24,+59.57%,3.76,54.76,64.0%,2023-06-09,57,3.35,51,1.11
CVNA,25.87,0.93,+59.24%,1.57,21.57,61.6%,2023-06-16,22.5,1.93,20,1
AMD,121.19,0.37,+58.73%,0.63,117.63,61.6%,2023-06-16,118,3.05,117,2.68
DOCU,58.59,0.37,+58.73%,0.63,55.63,60.7%,2023-06-09,56,2.87,55,2.5
AMD,121.19,0.74,+58.73%,1.26,117.26,62.8%,2023-06-16,118,3.05,116,2.31
NVDA,387.23,2.75,+57.89%,4.75,379.75,61.7%,2023-06-16,382.5,7.55,375,4.8
AMD,121.19,1.83,+57.73%,3.17,117.17,63.1%,2023-06-16,119,3.5,114,1.67
DOCU,58.59,1.46,+57.48%,2.54,54.54,64.8%,2023-06-09,56,2.87,52,1.41
TSLA,233.46,0.91,+57.23%,1.59,231.59,58.1%,2023-06-09,232.5,2.38,230,1.47
SBUX,99.06,0.36,+56.25%,0.64,98.64,56.4%,2023-06-16,99,1.06,98,0.7
GM,36.06,0.36,+56.25%,0.64,35.64,59.6%,2023-06-16,36,0.69,35,0.33
ORCL,107.47,1.44,+56.25%,2.56,105.56,58.3%,2023-06-16,107,3,103,1.56
DOCU,58.59,0.72,+56.25%,1.28,54.28,65.8%,2023-06-09,55,2.45,53,1.73
DVN,50.12,0.54,+56.25%,0.96,48.96,67.4%,2023-06-16,49.5,1.01,48,0.47
UPST,33.04,1.26,+56.25%,2.24,30.74,64.4%,2023-06-16,32,1.83,28.5,0.57
AMD,121.19,1.08,+56.25%,1.92,116.92,64.0%,2023-06-16,118,3.05,115,1.97
AVGO,803.52,3.6,+56.25%,6.4,796.4,56.6%,2023-06-16,800,12.5,790,8.9
TSLA,233.46,1.8,+56.25%,3.2,228.2,60.5%,2023-06-16,230,5.5,225,3.7
DOCU,58.59,2.69,+55.93%,4.81,54.81,62.8%,2023-06-16,57.5,3.9,50,1.21
DOCU,58.59,1.76,+54.32%,3.24,54.24,66.0%,2023-06-09,56,2.87,51,1.11
RCL,90.83,0.35,+53.85%,0.65,89.65,62.5%,2023-06-16,90,1.55,89,1.2
AMD,121.19,2.09,+53.45%,3.91,116.91,64.0%,2023-06-16,119,3.5,113,1.41
DOCU,58.59,0.87,+53.37%,1.63,54.13,65.2%,2023-06-16,55,2.77,52.5,1.9
DOCU,58.59,1.04,+53.06%,1.96,53.96,67.0%,2023-06-09,55,2.45,52,1.41
XOM,108.09,0.69,+52.67%,1.31,107.31,60.1%,2023-06-16,108,1.48,106,0.79
AMD,121.19,1.38,+52.67%,2.62,116.62,65.0%,2023-06-16,118,3.05,114,1.67
AMD,121.19,0.68,+51.52%,1.32,116.32,66.0%,2023-06-16,117,2.65,115,1.97
AMD,121.19,0.34,+51.52%,0.66,116.66,64.8%,2023-06-16,117,2.65,116,2.31
TSLA,233.46,2.55,+51.52%,4.95,227.45,62.1%,2023-06-16,230,5.5,222.5,2.95
UAL,50.04,0.17,+51.52%,0.33,49.33,62.8%,2023-06-16,49.5,0.76,49,0.59
UPST,33.04,0.34,+51.52%,0.66,30.66,64.9%,2023-06-16,31,1.34,30,1
DAL,39.1,0.34,+51.52%,0.66,38.66,61.3%,2023-06-16,39,0.62,38,0.28
SCHW,55.3,0.51,+51.52%,0.99,54.49,61.6%,2023-06-16,55,1.05,53.5,0.54
UPST,33.04,1.36,+51.52%,2.64,30.64,65.1%,2023-06-16,32,1.83,28,0.47
ORCL,107.47,1.7,+51.52%,3.3,105.3,59.6%,2023-06-16,107,3,102,1.3
UPST,33.04,0.51,+51.52%,0.99,30.49,66.0%,2023-06-16,31,1.34,29.5,0.83
C,48.21,0.17,+51.52%,0.33,47.83,58.9%,2023-06-16,48,0.58,47.5,0.41
WFC,42.22,0.17,+51.52%,0.33,41.83,60.5%,2023-06-16,42,0.53,41.5,0.36
NFLX,405.95,1.69,+51.06%,3.31,403.31,60.6%,2023-06-09,405,3.1,400,1.41
HD,301.56,0.84,+50.60%,1.66,299.16,58.6%,2023-06-16,300,3.45,297.5,2.61
NVDA,387.23,4.2,+50.60%,8.3,378.3,64.0%,2023-06-16,382.5,7.55,370,3.35
DOCU,58.59,0.67,+50.38%,1.33,54.33,64.5%,2023-06-16,55,2.77,53,2.1
AMAT,136.5,0.67,+50.38%,1.33,134.33,61.5%,2023-06-16,135,1.95,133,1.28
F,13.56,0.05,+50.00%,0.1,13.45,57.9%,2023-06-16,13.5,0.22,13.35,0.17
SBUX,99.06,0.5,+50.00%,1,98.5,58.3%,2023-06-16,99,1.06,97.5,0.56
DOCU,58.59,0.33,+49.25%,0.67,54.67,64.4%,2023-06-09,55,2.45,54,2.12
AMD,121.19,1.64,+48.81%,3.36,116.36,65.8%,2023-06-16,118,3.05,113,1.41
SLB,47.65,0.49,+48.51%,1.01,47.01,60.2%,2023-06-16,47.5,0.91,46,0.42
PDD,75.44,1.63,+48.37%,3.37,73.37,64.3%,2023-06-16,75,2.17,70,0.54
