Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
NFLX,325.35,0.75,+42.86%,1.75,324.25,59.7%,2023-04-21,325,2.15,322.5,1.4,monthly
TDOC,27.51,0.15,+42.86%,0.35,27.35,59.6%,2023-04-21,27.5,0.33,27,0.18,monthly
TSM,89.29,0.28,+38.89%,0.72,88.72,67.2%,2023-04-21,89,0.58,88,0.3,monthly
NVDA,271.04,0.69,+38.12%,1.81,269.31,66.8%,2023-04-21,270,1.74,267.5,1.05,monthly
NFLX,325.35,1.35,+36.99%,3.65,323.65,64.8%,2023-04-21,325,2.15,320,0.8,monthly
GM,33.54,0.13,+35.14%,0.37,33.37,62.2%,2023-04-21,33.5,0.26,33,0.13,monthly
DVN,54.02,0.24,+31.58%,0.76,53.76,64.4%,2023-04-21,54,0.36,53,0.12,monthly
ADBE,380.26,1.14,+29.53%,3.86,378.86,64.8%,2023-04-21,380,1.75,375,0.61,monthly
TSM,89.29,0.45,+29.03%,1.55,88.55,71.9%,2023-04-21,89,0.58,87,0.13,monthly
NFLX,325.35,1.65,+28.21%,5.85,323.35,67.3%,2023-04-21,325,2.15,317.5,0.5,monthly
AMAT,114.39,0.43,+27.39%,1.57,113.57,69.0%,2023-04-21,114,0.65,112,0.22,monthly
DAL,34.64,0.1,+25.00%,0.4,34.4,69.4%,2023-04-21,34.5,0.18,34,0.08,monthly
PG,150.85,0.19,+23.46%,0.81,149.81,64.7%,2023-04-21,150,1.09,149,0.9,monthly
ADBE,380.26,1.41,+23.15%,6.09,378.59,67.4%,2023-04-21,380,1.75,372.5,0.34,monthly
NFLX,325.35,1.87,+23.00%,8.13,323.13,69.0%,2023-04-21,325,2.15,315,0.28,monthly
KSS,23.14,0.09,+21.95%,0.41,22.91,69.5%,2023-04-21,23,0.16,22.5,0.07,monthly
LI,23.13,0.09,+21.95%,0.41,22.91,66.2%,2023-04-21,23,0.2,22.5,0.11,monthly
NFLX,325.35,0.45,+21.95%,2.05,322.05,77.0%,2023-04-21,322.5,1.25,320,0.8,monthly
AMAT,114.39,0.53,+21.46%,2.47,113.47,71.1%,2023-04-21,114,0.65,111,0.12,monthly
TSM,89.29,0.51,+20.48%,2.49,88.49,73.5%,2023-04-21,89,0.58,86,0.07,monthly
GS,338.71,0.41,+19.62%,2.09,337.09,73.9%,2023-04-21,337.5,0.82,335,0.41,monthly
AXP,163.28,0.4,+19.05%,2.1,162.1,71.6%,2023-04-21,162.5,0.62,160,0.22,monthly
NFLX,325.35,0.75,+17.65%,4.25,321.75,79.0%,2023-04-21,322.5,1.25,317.5,0.5,monthly
ABNB,118.4,0.3,+17.65%,1.7,117.7,66.1%,2023-04-21,118,0.6,116,0.3,monthly
