Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
AMD,87.3,0.44,+78.57%,0.56,86.56,53.6%,2023-05-05,87,3.35,86,2.91,weekly
AMD,87.3,0.86,+75.44%,1.14,86.14,55.6%,2023-05-05,87,3.35,85,2.49,weekly
TSLA,158.15,1.05,+72.41%,1.45,156.45,56.0%,2023-05-05,157.5,4.2,155,3.15,weekly
DIS,100.09,0.42,+72.41%,0.58,99.58,55.5%,2023-05-05,100,1.64,99,1.22,weekly
TSLA,158.15,1.05,+72.41%,1.45,156.45,54.4%,2023-05-12,157.5,5.8,155,4.75,weekly
AMZN,105.74,0.82,+69.49%,1.18,104.18,60.0%,2023-05-05,105,2.5,103,1.68,weekly
INTC,31.98,0.41,+69.49%,0.59,31.59,61.3%,2023-05-05,32,0.78,31,0.37,weekly
AMZN,105.74,1.2,+66.67%,1.8,103.8,62.4%,2023-05-05,105,2.5,102,1.3,weekly
AMZN,105.74,0.4,+66.67%,0.6,103.6,63.7%,2023-05-05,104,2.08,103,1.68,weekly
AMZN,105.74,0.78,+63.93%,1.22,103.22,66.0%,2023-05-05,104,2.08,102,1.3,weekly
AMD,87.3,0.39,+63.93%,0.61,85.61,58.1%,2023-05-05,86,2.88,85,2.49,weekly
AMD,87.3,1.9,+61.29%,3.1,85.1,60.6%,2023-05-05,87,3.35,82,1.45,weekly
AMZN,105.74,0.37,+58.73%,0.63,102.63,69.5%,2023-05-05,103,1.67,102,1.3,weekly
INTC,31.98,0.55,+57.89%,0.95,31.45,64.5%,2023-05-05,32,0.78,30.5,0.23,weekly
AAPL,168.16,0.91,+57.23%,1.59,166.59,57.2%,2023-05-05,167.5,3.2,165,2.29,weekly
GOOG,107.17,0.36,+56.25%,0.64,106.64,54.7%,2023-05-05,107,1.49,106,1.13,weekly
NVDA,272.07,0.9,+56.25%,1.6,269.1,57.1%,2023-05-05,270,5.35,267.5,4.45,weekly
MSFT,305.64,0.9,+56.25%,1.6,304.1,56.0%,2023-05-05,305,4,302.5,3.1,weekly
TSLA,158.15,2.7,+56.25%,4.8,154.8,58.6%,2023-05-12,157.5,5.8,150,3.1,weekly
AMD,87.3,1.43,+55.64%,2.57,84.57,63.1%,2023-05-05,86,2.88,82,1.45,weekly
