Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
BABA,89.14,0.43,+75.44%,0.57,87.57,57.5%,2023-05-19,88,2.19,87,1.76
RUN,15.99,0.21,+72.41%,0.29,15.79,56.8%,2023-05-19,16,0.51,15.5,0.3
BABA,89.14,0.82,+69.49%,1.18,87.18,59.7%,2023-05-19,88,2.19,86,1.37
UPST,19.95,0.2,+66.67%,0.3,19.3,59.5%,2023-05-19,19.5,0.75,19,0.55
NVDA,295.84,0.97,+63.40%,1.53,294.03,54.7%,2023-05-19,295,3.25,292.5,2.28
BABA,89.14,1.15,+62.16%,1.85,86.85,61.7%,2023-05-19,88,2.19,85,1.04
MRVL,42.23,0.19,+61.29%,0.31,41.81,60.8%,2023-05-19,42,0.66,41.5,0.47
UPST,19.95,0.37,+58.73%,0.63,19.13,62.3%,2023-05-19,19.5,0.75,18.5,0.38
BABA,89.14,0.37,+58.73%,0.63,86.63,62.9%,2023-05-19,87,1.74,86,1.37
MRVL,42.23,0.35,+53.85%,0.65,41.65,64.3%,2023-05-19,42,0.66,41,0.31
MSFT,313.49,0.87,+53.37%,1.63,311.63,58.3%,2023-05-19,312.5,2.02,310,1.15
TSLA,169.35,0.85,+51.52%,1.65,166.65,58.6%,2023-05-19,167.5,2.59,165,1.74
RUN,15.99,0.34,+51.52%,0.66,15.66,60.9%,2023-05-19,16,0.51,15,0.17
NVDA,295.84,1.7,+51.52%,3.3,293.3,57.8%,2023-05-19,295,3.25,290,1.55
UPST,19.95,0.5,+50.00%,1,19,64.5%,2023-05-19,19.5,0.75,18,0.25
TGT,160.09,0.8,+47.06%,1.7,154.2,64.8%,2023-05-19,155,3.7,152.5,2.9
MU,64.6,0.32,+47.06%,0.68,63.68,66.2%,2023-05-19,64,0.71,63,0.39
CRWD,134.03,0.32,+47.06%,0.68,132.68,59.2%,2023-05-19,133,1.58,132,1.26
TGT,160.09,1.55,+44.93%,3.45,153.45,66.7%,2023-05-19,155,3.7,150,2.15
AMZN,113.96,0.31,+44.93%,0.69,112.69,62.2%,2023-05-19,113,0.95,112,0.64
JD,38.15,0.15,+42.86%,0.35,37.35,60.1%,2023-05-19,37.5,0.51,37,0.36
GOOGL,119.83,0.3,+42.86%,0.7,118.7,59.9%,2023-05-19,119,0.87,118,0.57
NVDA,295.84,2.23,+42.32%,5.27,292.77,60.0%,2023-05-19,295,3.25,287.5,1.02
ABNB,106.97,0.29,+40.85%,0.71,105.71,63.6%,2023-05-19,106,1.16,105,0.87
UPST,19.95,0.58,+40.85%,1.42,18.92,65.9%,2023-05-19,19.5,0.75,17.5,0.17
NVDA,295.84,0.72,+40.45%,1.78,291.78,64.1%,2023-05-19,292.5,2.27,290,1.55
UPST,19.95,0.28,+38.89%,0.72,18.72,69.1%,2023-05-19,19,0.53,18,0.25
JD,38.15,0.28,+38.89%,0.72,37.22,62.8%,2023-05-19,37.5,0.51,36.5,0.23
WDC,36.76,0.42,+38.89%,1.08,36.08,62.8%,2023-05-19,36.5,0.58,35,0.16
ENPH,164.74,0.7,+38.89%,1.8,161.8,63.0%,2023-05-19,162.5,2.17,160,1.47
MRVL,42.23,0.14,+38.89%,0.36,41.36,70.5%,2023-05-19,41.5,0.45,41,0.31
MU,64.6,0.42,+38.89%,1.08,63.58,67.8%,2023-05-19,64,0.71,62.5,0.29
MSFT,313.49,1.39,+38.50%,3.61,311.11,61.9%,2023-05-19,312.5,2.02,307.5,0.63
TGT,160.09,0.68,+37.36%,1.82,151.82,70.8%,2023-05-19,152.5,2.83,150,2.15
GOOG,120.17,0.27,+36.99%,0.73,118.73,63.9%,2023-05-19,119,0.75,118,0.48
AMZN,113.96,0.54,+36.99%,1.46,112.46,64.8%,2023-05-19,113,0.95,111,0.41
MRVL,42.23,0.53,+36.05%,1.47,41.47,68.2%,2023-05-19,42,0.66,40,0.13
GOOGL,119.83,0.52,+35.14%,1.48,118.48,62.6%,2023-05-19,119,0.87,117,0.35
NVDA,295.84,2.59,+34.95%,7.41,292.41,61.5%,2023-05-19,295,3.25,285,0.66
MSTR,278.2,2.52,+33.69%,7.48,267.48,70.6%,2023-05-19,270,4.6,260,2.08
UPST,19.95,0.63,+33.69%,1.87,18.87,66.7%,2023-05-19,19.5,0.75,17,0.12
NVDA,295.84,1.25,+33.33%,3.75,291.25,66.2%,2023-05-19,292.5,2.27,287.5,1.02
MU,64.6,0.5,+33.33%,1.5,63.5,69.1%,2023-05-19,64,0.71,62,0.21
UPST,19.95,0.36,+31.58%,1.14,18.64,70.4%,2023-05-19,19,0.53,17.5,0.17
JD,38.15,0.36,+31.58%,1.14,37.14,64.4%,2023-05-19,37.5,0.51,36,0.15
AMZN,113.96,0.69,+29.87%,2.31,112.31,66.4%,2023-05-19,113,0.95,110,0.26
NVDA,295.84,2.83,+29.27%,9.67,292.17,62.5%,2023-05-19,295,3.25,282.5,0.42
ONON,30.33,0.45,+29.03%,1.55,29.55,71.8%,2023-05-19,30,0.6,28,0.15
GOOG,120.17,0.45,+29.03%,1.55,118.55,66.0%,2023-05-19,119,0.75,117,0.3
UPST,19.95,0.67,+28.76%,2.33,18.83,67.3%,2023-05-19,19.5,0.75,16.5,0.08
MSFT,313.49,1.67,+28.64%,5.83,310.83,63.8%,2023-05-19,312.5,2.02,305,0.35
AMD,102.33,0.22,+28.21%,0.78,99.78,73.0%,2023-05-19,100,0.66,99,0.44
UPST,19.95,0.11,+28.21%,0.39,18.39,74.2%,2023-05-19,18.5,0.36,18,0.25
JD,38.15,0.11,+28.21%,0.39,36.89,69.3%,2023-05-19,37,0.34,36.5,0.23
IEP,34.47,0.55,+28.21%,1.95,31.95,73.1%,2023-05-19,32.5,1,30,0.45
NVDA,295.84,1.61,+27.33%,5.89,290.89,67.6%,2023-05-19,292.5,2.27,285,0.66
GOOGL,119.83,0.64,+27.12%,2.36,118.36,64.0%,2023-05-19,119,0.87,116,0.23
MRVL,42.23,0.32,+27.12%,1.18,41.18,74.1%,2023-05-19,41.5,0.45,40,0.13
GOOGL,119.83,0.21,+26.58%,0.79,117.79,70.5%,2023-05-19,118,0.56,117,0.35
AMZN,113.96,0.21,+26.58%,0.79,111.79,71.8%,2023-05-19,112,0.62,111,0.41
NVDA,295.84,0.51,+25.63%,1.99,289.49,72.9%,2023-05-19,290,1.53,287.5,1.02
USB,28.98,0.1,+25.00%,0.4,28.4,65.7%,2023-05-19,28.5,0.35,28,0.25
USB,28.98,0.2,+25.00%,0.8,28.3,68.4%,2023-05-19,28.5,0.35,27.5,0.15
MSFT,313.49,0.5,+25.00%,2,309.5,72.3%,2023-05-19,310,1.13,307.5,0.63
MU,64.6,0.6,+25.00%,2.4,63.4,70.6%,2023-05-19,64,0.71,61,0.11
NVDA,295.84,2.97,+24.69%,12.03,292.03,63.1%,2023-05-19,295,3.25,280,0.28
AMZN,113.96,0.78,+24.22%,3.22,112.22,67.4%,2023-05-19,113,0.95,109,0.17
UPST,19.95,0.68,+24.11%,2.82,18.82,67.5%,2023-05-19,19.5,0.75,16,0.07
AMD,102.33,0.38,+23.46%,1.62,99.62,74.3%,2023-05-19,100,0.66,98,0.28
UPST,19.95,0.19,+23.46%,0.81,18.31,75.4%,2023-05-19,18.5,0.36,17.5,0.17
GOOG,120.17,0.56,+22.95%,2.44,118.44,67.2%,2023-05-19,119,0.75,116,0.19
NVDA,295.84,1.85,+22.70%,8.15,290.65,68.6%,2023-05-19,292.5,2.27,282.5,0.42
