Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask"
NFLX,367.24,1.2,+92.31%,1.3,368.8,53.1%,2023-05-26,370,7.05,367.5,5.85
NFLX,367.24,2.35,+88.68%,2.65,367.65,56.1%,2023-05-26,370,7.05,365,4.7
NVDA,313.78,1.15,+85.19%,1.35,311.35,55.2%,2023-05-26,312.5,10.2,310,9.05
NVDA,313.78,2.25,+81.82%,2.75,310.25,56.8%,2023-05-26,312.5,10.2,307.5,7.95
NVDA,313.78,3.3,+78.57%,4.2,309.2,58.3%,2023-05-26,312.5,10.2,305,6.9
NVDA,313.78,4.25,+73.91%,5.75,308.25,59.7%,2023-05-26,312.5,10.2,302.5,5.95
AMD,108.18,0.42,+72.41%,0.58,107.58,56.6%,2023-05-26,108,2.15,107,1.73
NFLX,367.24,4.18,+71.82%,5.82,365.82,60.8%,2023-05-26,370,7.05,360,2.87
NVDA,313.78,5.15,+70.07%,7.35,307.35,61.0%,2023-05-26,312.5,10.2,300,5.05
NVDA,313.78,2.05,+69.49%,2.95,307.95,60.1%,2023-05-26,310,8.95,305,6.9
LOW,204.94,2.04,+68.92%,2.96,202.96,58.3%,2023-05-26,205,4.9,200,2.86
AMD,108.18,0.8,+66.67%,1.2,107.2,59.2%,2023-05-26,108,2.15,106,1.35
NVDA,313.78,3,+66.67%,4.5,307,61.5%,2023-05-26,310,8.95,302.5,5.95
MU,65.35,0.4,+66.67%,0.6,64.6,65.4%,2023-05-26,65,1.12,64,0.72
NVDA,313.78,1,+66.67%,1.5,309,58.6%,2023-05-26,310,8.95,307.5,7.95
NVDA,313.78,5.9,+64.84%,9.1,306.6,62.1%,2023-05-26,312.5,10.2,297.5,4.3
NVDA,313.78,3.9,+63.93%,6.1,306.1,62.8%,2023-05-26,310,8.95,300,5.05
NFLX,367.24,4.85,+63.40%,7.65,365.15,62.5%,2023-05-26,370,7.05,357.5,2.2
AMD,108.18,1.13,+60.43%,1.87,106.87,61.3%,2023-05-26,108,2.15,105,1.02
NVDA,313.78,6.55,+59.82%,10.95,305.95,63.0%,2023-05-26,312.5,10.2,295,3.65
NVDA,313.78,4.65,+59.24%,7.85,305.35,63.9%,2023-05-26,310,8.95,297.5,4.3
NVDA,313.78,1.85,+58.73%,3.15,305.65,63.5%,2023-05-26,307.5,7.8,302.5,5.95
NVDA,313.78,2.75,+57.89%,4.75,304.75,64.7%,2023-05-26,307.5,7.8,300,5.05
NVDA,313.78,0.9,+56.25%,1.6,306.6,62.1%,2023-05-26,307.5,7.8,305,6.9
AMD,108.18,0.36,+56.25%,0.64,106.64,62.8%,2023-05-26,107,1.71,106,1.35
NFLX,367.24,5.37,+55.76%,9.63,364.63,63.8%,2023-05-26,370,7.05,355,1.68
NVDA,313.78,7.15,+55.64%,12.85,305.35,63.9%,2023-05-26,312.5,10.2,292.5,3.05
NVDA,313.78,5.3,+54.64%,9.7,304.7,64.8%,2023-05-26,310,8.95,295,3.65
FSLR,205.77,1.76,+54.32%,3.24,203.24,56.9%,2023-05-26,205,4.2,200,2.44
NFLX,367.24,3.5,+53.85%,6.5,364,65.4%,2023-05-26,367.5,5.7,357.5,2.2
NVDA,313.78,3.5,+53.85%,6.5,304,65.8%,2023-05-26,307.5,7.8,297.5,4.3
TSLA,184.4,0.87,+53.37%,1.63,181.63,61.1%,2023-05-26,182.5,3.05,180,2.18
AMD,108.18,0.69,+52.67%,1.31,106.31,64.9%,2023-05-26,107,1.71,105,1.02
AMD,108.18,1.37,+52.09%,2.63,106.63,62.9%,2023-05-26,108,2.15,104,0.78
NVDA,313.78,7.68,+51.82%,14.82,304.82,64.6%,2023-05-26,312.5,10.2,290,2.52
SCHW,51.73,0.17,+51.52%,0.33,51.33,57.0%,2023-05-26,51.5,0.75,51,0.58
NVDA,313.78,1.7,+51.52%,3.3,303.3,66.8%,2023-05-26,305,6.75,300,5.05
ENPH,166.52,0.85,+51.52%,1.65,164.15,58.6%,2023-05-26,165,3.15,162.5,2.3
LOW,204.94,3.39,+51.29%,6.61,201.61,62.9%,2023-05-26,205,4.9,195,1.51
NVDA,313.78,5.9,+50.86%,11.6,304.1,65.6%,2023-05-26,310,8.95,292.5,3.05
NFLX,367.24,1.68,+50.60%,3.32,363.32,67.0%,2023-05-26,365,4.55,360,2.87
NVDA,313.78,4.15,+49.70%,8.35,303.35,66.7%,2023-05-26,307.5,7.8,295,3.65
NFLX,367.24,5.8,+49.57%,11.7,364.2,64.9%,2023-05-26,370,7.05,352.5,1.25
NVDA,313.78,2.45,+48.51%,5.05,302.55,67.8%,2023-05-26,305,6.75,297.5,4.3
