Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue
META,221.49,6.85,+217.46%,3.15,236.85,213.15,64.59%,0.332,2023-04-28,210.00P,5.85,220.00P,9.65,230.00C,7.1,240.00C,4.05,weekly,17.00000000000003
META,221.49,1.89,+309.84%,0.61,224.39,218.11,31.02%,0.27899999999999997,2023-04-21,217.50P,1.86,220.00P,2.74,222.50C,3.1,225.00C,2.09,monthly,8.749999999999986
META,221.49,7.2,+257.14%,2.8,237.2,212.8,47.90%,0.28800000000000003,2023-05-19,210.00P,7.8,220.00P,11.65,230.00C,9.35,240.00C,6.0,monthly,8.000000000000028
OXY,64.48,1.69,+208.64%,0.81,66.69,60.81,35.13%,0.331,2023-05-19,60.00P,1.05,62.50P,1.73,65.00C,2.57,67.50C,1.56,monthly,1.75
CVX,172.44,3.29,+192.40%,1.71,178.29,166.71,24.64%,0.345,2023-05-19,165.00P,2.57,170.00P,4.1,175.00C,3.7,180.00C,1.94,monthly,1.4999999999999858
BAC,29.52,0.37,+284.62%,0.13,30.37,29.13,48.70%,0.26,2023-04-21,29.00P,0.51,29.50P,0.71,30.00C,0.54,30.50C,0.37,monthly,1.7763568394002505e-15
SCHW,50.77,1.77,+143.90%,1.23,54.77,48.23,92.63%,0.406,2023-04-21,47.00P,1.05,50.00P,2.04,53.00C,1.4,56.00C,0.62,monthly,-1.1999999999999886
ABBV,161.59,2.98,+147.53%,2.02,167.98,157.02,20.96%,0.401,2023-05-19,155.00P,1.76,160.00P,3.15,165.00C,2.79,170.00C,1.2,monthly,-1.4999999999999858
JPM,138.73,2.82,+129.36%,2.18,142.82,132.18,21.93%,0.433,2023-05-19,130.00P,0.95,135.00P,1.91,140.00C,3.2,145.00C,1.34,monthly,-1.5000000000000142
CVX,172.44,1.37,+121.24%,1.13,173.87,168.63,19.51%,0.44299999999999995,2023-04-21,167.50P,0.34,170.00P,0.74,172.50C,1.66,175.00C,0.69,monthly,-2.25
