Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
NVDA,284.71,3.09,+161.78%,1.91,290.59,279.41,39.21%,0.418,2023-05-12,277.50P,1.4,282.50P,2.89,287.50C,2.99,292.50C,1.39,weekly,0.1799999999999999,0.05825242718446601
GOOGL,108.11,1.24,+163.16%,0.76,111.24,106.76,41.53%,0.41,2023-05-12,106.00P,0.76,108.00P,1.52,110.00C,0.89,112.00C,0.41,weekly,0.0599999999999998,0.0483870967741935
GOOG,108.56,1.24,+163.16%,0.76,110.24,105.76,41.93%,0.408,2023-05-12,105.00P,0.43,107.00P,0.94,109.00C,1.48,111.00C,0.75,weekly,0.0559999999999998,0.04516129032258058
GOOG,108.56,1.23,+159.74%,0.77,111.23,106.77,41.93%,0.409,2023-05-12,106.00P,0.65,108.00P,1.33,110.00C,1.06,112.00C,0.51,weekly,0.0479999999999999,0.03902439024390245
GOOGL,108.11,1.22,+156.41%,0.78,110.22,105.78,41.53%,0.414,2023-05-12,105.00P,0.51,107.00P,1.09,109.00C,1.26,111.00C,0.62,weekly,0.0479999999999998,0.0393442622950819
GOOGL,108.11,1.72,+134.38%,1.28,111.72,105.28,31.00%,0.437,2023-05-19,104.00P,0.76,107.00P,1.64,110.00C,1.46,113.00C,0.62,monthly,0.0310000000000001,0.01802325581395354
AMD,94.88,2.24,+127.27%,1.76,97.24,88.76,44.95%,0.447,2023-05-19,87.00P,0.46,91.00P,1.19,95.00C,2.89,99.00C,1.38,monthly,0.0280000000000002,0.012500000000000145
GOOGL,108.11,1.74,+138.10%,1.26,112.74,106.26,31.00%,0.428,2023-05-19,105.00P,0.99,108.00P,2.07,111.00C,1.11,114.00C,0.45,monthly,0.0239999999999998,0.013793103448275813
GOOG,108.56,1.71,+132.56%,1.29,112.71,106.29,30.99%,0.43,2023-05-19,105.00P,0.87,108.00P,1.85,111.00C,1.25,114.00C,0.52,monthly,-1.1102230246251563e-16,-8.375366676996795e-17
RIVN,13.66,0.81,+117.39%,0.69,15.31,12.19,210.59%,0.449,2023-05-12,11.50P,0.23,13.00P,0.68,14.50C,0.73,16.00C,0.37,weekly,-0.0164999999999999,-0.02037037037037025
AMZN,105.96,1.68,+127.27%,1.32,110.68,104.32,30.56%,0.433,2023-05-19,103.00P,0.95,106.00P,1.98,109.00C,1.02,112.00C,0.37,monthly,-0.021,-0.012499999999999971
AMD,94.88,2.18,+119.78%,1.82,98.18,89.82,44.95%,0.4479999999999999,2023-05-19,88.00P,0.59,92.00P,1.49,96.00C,2.42,100.00C,1.14,monthly,-0.0280000000000002,-0.012844036697247846
SHOP,62.98,1.08,+117.39%,0.92,66.08,61.92,60.19%,0.444,2023-05-12,61.00P,0.6,63.00P,1.33,65.00C,0.63,67.00C,0.28,weekly,-0.032,-0.029629629629629645
