Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask","Exp Type"
TSLA,249.98,5.53,+28.40%,19.47,275.53,239.47,66.77%,64.9%,2023-06-16,220.00P,0.34,245.00P,4.4,270.00C,1.86,295.00C,0.39,monthly
NFLX,422.05,6.99,+30.38%,23.01,456.99,413.01,44.69%,63.4%,2023-06-16,390.00P,0.41,420.00P,6.15,450.00C,1.56,480.00C,0.31,monthly
AMD,128.7,3.88,+38.34%,10.12,144.88,123.12,79.71%,62.4%,2023-06-16,113.00P,0.17,127.00P,3.1,141.00C,1.22,155.00C,0.27,monthly
TSLA,249.98,5.07,+33.96%,14.93,265.07,234.93,66.77%,61.2%,2023-06-16,220.00P,0.34,240.00P,2.74,260.00C,3.65,280.00C,0.98,monthly
TSLA,249.98,5.06,+33.87%,14.94,262.56,232.44,66.77%,61.0%,2023-06-16,217.50P,0.27,237.50P,2.13,257.50C,4.35,277.50C,1.15,monthly
NFLX,422.05,7.08,+39.51%,17.92,452.08,412.92,44.69%,60.9%,2023-06-16,395.00P,0.66,420.00P,6.15,445.00C,2.1,470.00C,0.51,monthly
TSLA,249.98,5.74,+40.25%,14.26,270.74,239.26,66.77%,60.8%,2023-06-16,225.00P,0.56,245.00P,4.4,265.00C,2.61,285.00C,0.71,monthly
AMD,128.7,3.67,+44.06%,8.33,141.67,122.33,79.71%,60.4%,2023-06-16,114.00P,0.21,126.00P,2.64,138.00C,1.71,150.00C,0.47,monthly
BA,221.46,2.51,+33.51%,7.49,232.51,217.49,34.99%,59.7%,2023-06-16,210.00P,0.27,220.00P,2.03,230.00C,1.02,240.00C,0.27,monthly
AMD,128.7,3.51,+46.86%,7.49,139.51,121.49,79.71%,58.8%,2023-06-16,114.00P,0.21,125.00P,2.24,136.00C,2.13,147.00C,0.65,monthly
AMD,128.7,3.35,+43.79%,7.65,138.35,120.65,79.71%,58.7%,2023-06-16,113.00P,0.17,124.00P,1.87,135.00C,2.37,146.00C,0.72,monthly
AMD,128.7,3.7,+50.68%,7.3,140.7,122.3,79.71%,58.7%,2023-06-16,115.00P,0.27,126.00P,2.64,137.00C,1.91,148.00C,0.58,monthly
QCOM,121.62,1.51,+43.27%,3.49,126.51,118.49,37.78%,58.6%,2023-06-16,115.00P,0.16,120.00P,1.03,125.00C,0.86,130.00C,0.22,monthly
NFLX,422.05,6.26,+45.56%,13.74,441.26,408.74,44.69%,58.3%,2023-06-16,395.00P,0.66,415.00P,4.15,435.00C,3.95,455.00C,1.18,monthly
TSM,107.32,1.96,+48.51%,4.04,112.96,103.04,53.92%,58.2%,2023-06-16,99.00P,0.18,105.00P,1.36,111.00C,1.11,117.00C,0.33,monthly
TSLA,249.98,5.44,+45.11%,12.06,265.44,237.06,66.77%,58.1%,2023-06-16,225.00P,0.56,242.50P,3.5,260.00C,3.65,277.50C,1.15,monthly
TSLA,249.98,5.31,+43.56%,12.19,262.81,234.69,66.77%,58.0%,2023-06-16,222.50P,0.43,240.00P,2.74,257.50C,4.35,275.00C,1.35,monthly
TSLA,249.98,5.79,+49.44%,11.71,268.29,239.21,66.77%,58.0%,2023-06-16,227.50P,0.73,245.00P,4.4,262.50C,3.1,280.00C,0.98,monthly
AMD,128.7,4.22,+62.24%,6.78,143.22,123.78,79.71%,58.0%,2023-06-16,117.00P,0.44,128.00P,3.6,139.00C,1.53,150.00C,0.47,monthly
TSM,107.32,1.79,+42.52%,4.21,111.79,102.21,53.92%,57.1%,2023-06-16,98.00P,0.13,104.00P,0.99,110.00C,1.35,116.00C,0.42,monthly
NFLX,422.05,7.05,+54.44%,12.95,447.05,412.95,44.69%,57.0%,2023-06-16,400.00P,1.07,420.00P,6.15,440.00C,2.87,460.00C,0.9,monthly
AMD,128.7,3.54,+54.80%,6.46,138.54,121.46,79.71%,56.7%,2023-06-16,115.00P,0.27,125.00P,2.24,135.00C,2.37,145.00C,0.8,monthly
AMD,128.7,3.7,+58.73%,6.3,139.7,122.3,79.71%,56.7%,2023-06-16,116.00P,0.35,126.00P,2.64,136.00C,2.13,146.00C,0.72,monthly
AMD,128.7,3.41,+51.75%,6.59,137.41,120.59,79.71%,56.6%,2023-06-16,114.00P,0.21,124.00P,1.87,134.00C,2.65,144.00C,0.9,monthly
AMD,128.7,3.92,+64.47%,6.08,140.92,123.08,79.71%,56.5%,2023-06-16,117.00P,0.44,127.00P,3.1,137.00C,1.91,147.00C,0.65,monthly
UPST,33.92,1.61,+67.36%,2.39,38.61,31.39,124.87%,56.3%,2023-06-16,29.00P,0.15,33.00P,1.28,37.00C,0.84,41.00C,0.36,monthly
AMD,128.7,4.18,+71.82%,5.82,142.18,123.82,79.71%,56.2%,2023-06-16,118.00P,0.55,128.00P,3.6,138.00C,1.71,148.00C,0.58,monthly
BA,221.46,2.51,+50.30%,4.99,227.51,214.99,34.99%,56.0%,2023-06-16,210.00P,0.27,217.50P,1.24,225.00C,2.28,232.50C,0.74,monthly
SHOP,64.98,1.48,+58.73%,2.52,68.48,61.52,67.80%,55.0%,2023-06-16,59.00P,0.19,63.00P,0.93,67.00C,1.13,71.00C,0.39,monthly
WMT,153.89,0.87,+53.37%,1.63,155.87,151.63,17.54%,54.7%,2023-06-16,150.00P,0.19,152.50P,0.55,155.00C,0.68,157.50C,0.17,monthly
BA,221.46,2.59,+52.75%,4.91,230.09,217.41,34.99%,54.5%,2023-06-16,212.50P,0.47,220.00P,2.03,227.50C,1.53,235.00C,0.5,monthly
PANW,228.59,2.78,+58.90%,4.72,235.28,222.22,36.58%,54.4%,2023-06-16,217.50P,0.45,225.00P,1.76,232.50C,2.03,240.00C,0.56,monthly
TSLA,249.98,5.74,+61.99%,9.26,265.74,239.26,66.77%,54.4%,2023-06-16,230.00P,0.96,245.00P,4.4,260.00C,3.65,275.00C,1.35,monthly
AMD,128.7,3.88,+75.78%,5.12,139.88,123.12,79.71%,54.3%,2023-06-16,118.00P,0.55,127.00P,3.1,136.00C,2.13,145.00C,0.8,monthly
AMD,128.7,3.54,+64.84%,5.46,137.54,121.46,79.71%,54.3%,2023-06-16,116.00P,0.35,125.00P,2.24,134.00C,2.65,143.00C,1,monthly
AMD,128.7,3.67,+68.86%,5.33,138.67,122.33,79.71%,54.3%,2023-06-16,117.00P,0.44,126.00P,2.64,135.00C,2.37,144.00C,0.9,monthly
TSLA,249.98,6.14,+69.30%,8.86,268.64,241.36,66.77%,54.1%,2023-06-16,232.50P,1.26,247.50P,5.45,262.50C,3.1,277.50C,1.15,monthly
AMD,128.7,3.43,+61.58%,5.57,136.43,120.57,79.71%,54.1%,2023-06-16,115.00P,0.27,124.00P,1.87,133.00C,2.95,142.00C,1.12,monthly
AMD,128.7,4.1,+83.67%,4.9,141.1,123.9,79.71%,54.0%,2023-06-16,119.00P,0.69,128.00P,3.6,137.00C,1.91,146.00C,0.72,monthly
TSLA,249.98,5.45,+57.07%,9.55,260.45,234.55,66.77%,54.0%,2023-06-16,225.00P,0.56,240.00P,2.74,255.00C,5.15,270.00C,1.88,monthly
UAL,51.33,0.69,+52.67%,1.31,53.69,50.31,40.25%,54.0%,2023-06-16,49.00P,0.17,51.00P,0.63,53.00C,0.3,55.00C,0.07,monthly
TSM,107.32,1.95,+63.93%,3.05,111.95,103.05,53.92%,53.7%,2023-06-16,100.00P,0.25,105.00P,1.36,110.00C,1.35,115.00C,0.51,monthly
AMD,128.7,3.34,+59.01%,5.66,135.34,119.66,79.71%,53.5%,2023-06-16,114.00P,0.21,123.00P,1.55,132.00C,3.25,141.00C,1.25,monthly
LULU,366.25,3.82,+61.81%,6.18,373.82,356.18,31.43%,53.5%,2023-06-16,350.00P,0.55,360.00P,1.83,370.00C,3.7,380.00C,1.16,monthly
