Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask"
NVDA,427.23,9.1,+35.14%,25.9,469.1,415.9,41.96%,64.7%,2023-06-23,390.00P,0.84,425.00P,8.5,460.00C,1.92,495.00C,0.48
NVDA,427.23,9,+42.86%,21,464,416,41.96%,61.8%,2023-06-23,395.00P,1.2,425.00P,8.5,455.00C,2.42,485.00C,0.72
BABA,92.01,1.83,+35.40%,5.17,100.83,90.17,37.68%,61.6%,2023-06-23,85.00P,0.14,92.00P,1.79,99.00C,0.35,106.00C,0.17
BABA,92.01,1.85,+44.58%,4.15,99.85,90.15,37.68%,59.8%,2023-06-23,86.00P,0.23,92.00P,1.79,98.00C,0.45,104.00C,0.16
META,280.88,3.87,+44.84%,8.63,296.37,276.13,30.39%,58.8%,2023-06-23,267.50P,0.8,280.00P,3.8,292.50C,1.35,305.00C,0.48
NVDA,427.23,8.85,+54.80%,16.15,458.85,416.15,41.96%,58.0%,2023-06-23,400.00P,1.68,425.00P,8.5,450.00C,3.15,475.00C,1.12
JPM,143.25,0.7,+30.43%,2.3,146.7,142.3,12.24%,57.9%,2023-06-23,140.00P,0.2,143.00P,0.8,146.00C,0.17,149.00C,0.07
BABA,92.01,1.79,+55.76%,3.21,98.79,90.21,37.68%,56.5%,2023-06-23,87.00P,0.33,92.00P,1.79,97.00C,0.56,102.00C,0.23
META,280.88,3.83,+62.07%,6.17,293.83,276.17,30.39%,53.5%,2023-06-23,270.00P,1.13,280.00P,3.8,290.00C,1.86,300.00C,0.7
UPST,37.22,1.61,+67.36%,2.39,41.61,34.39,95.31%,52.8%,2023-06-23,32.00P,0.27,36.00P,1.29,40.00C,1.04,44.00C,0.45
NVDA,427.23,8.39,+72.27%,11.61,453.39,416.61,41.96%,52.5%,2023-06-23,405.00P,2.5,425.00P,8.5,445.00C,4.05,465.00C,1.66
FDX,233.49,6.42,+74.83%,8.58,251.42,223.58,58.95%,52.3%,2023-06-23,215.00P,1.55,230.00P,5.7,245.00C,3.4,260.00C,1.13
NVDA,427.23,7.73,+63.00%,12.27,447.73,412.27,41.96%,52.2%,2023-06-23,400.00P,1.68,420.00P,6.35,440.00C,5.2,460.00C,2.14
BABA,92.01,1.72,+75.44%,2.28,97.72,90.28,37.68%,52.0%,2023-06-23,88.00P,0.48,92.00P,1.79,96.00C,0.73,100.00C,0.32
MSFT,342.4,2.13,+27.06%,7.87,354.63,340.37,19.42%,51.7%,2023-06-23,332.50P,0.93,342.50P,3.35,352.50C,0.15,362.50C,0.44
INTC,36.46,0.79,+65.29%,1.21,38.79,35.21,50.39%,51.0%,2023-06-23,34.00P,0.2,36.00P,0.74,38.00C,0.49,40.00C,0.24
MSFT,342.4,2.84,+60.94%,4.66,352.84,339.66,19.42%,50.4%,2023-06-23,335.00P,1.34,342.50P,3.35,350.00C,1.43,357.50C,0.6
TGT,133.68,1.68,+72.41%,2.32,139.68,132.32,27.84%,50.0%,2023-06-23,130.00P,0.72,134.00P,2.01,138.00C,0.67,142.00C,0.28
JPM,143.25,0.7,+53.85%,1.3,145.7,142.3,12.24%,49.8%,2023-06-23,141.00P,0.32,143.00P,0.8,145.00C,0.33,147.00C,0.11
MSFT,342.4,2.27,+43.40%,5.23,349.77,337.73,19.42%,48.5%,2023-06-23,332.50P,0.93,340.00P,2.2,347.50C,1.83,355.00C,0.83
