Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask","Exp Type"
NVDA,289.1,3.06,+18.06%,16.94,303.06,276.94,49.79%,68.1%,2023-05-05,260.00P,0.14,280.00P,1.84,300.00C,1.5,320.00C,0.14,weekly
NVDA,289.1,3.3,+19.76%,16.7,298.3,271.7,49.79%,67.2%,2023-05-05,255.00P,0.09,275.00P,0.95,295.00C,2.68,315.00C,0.24,weekly
NVDA,289.1,3.42,+24.29%,14.08,300.92,276.58,49.79%,64.9%,2023-05-05,262.50P,0.18,280.00P,1.84,297.50C,2,315.00C,0.24,weekly
NVDA,289.1,3.59,+25.81%,13.91,298.59,273.91,49.79%,64.7%,2023-05-05,260.00P,0.14,277.50P,1.36,295.00C,2.68,312.50C,0.31,weekly
NVDA,289.1,4.1,+30.60%,13.4,296.6,270.9,49.79%,64.0%,2023-05-05,257.50P,0.11,275.00P,0.95,292.50C,3.7,310.00C,0.44,weekly
NVDA,289.1,3.68,+26.63%,13.82,306.18,281.32,49.79%,62.5%,2023-05-05,267.50P,0.35,285.00P,3.3,302.50C,0.87,320.00C,0.14,weekly
NVDA,289.1,3.84,+34.41%,11.16,298.84,276.16,49.79%,61.3%,2023-05-05,265.00P,0.24,280.00P,1.84,295.00C,2.68,310.00C,0.44,weekly
NVDA,289.1,4.26,+39.66%,10.74,296.76,273.24,49.79%,61.3%,2023-05-05,262.50P,0.18,277.50P,1.36,292.50C,3.7,307.50C,0.62,weekly
META,243.18,3.19,+34.26%,9.31,258.19,239.31,41.90%,60.6%,2023-05-05,230.00P,0.46,242.50P,3.25,255.00C,0.46,267.50C,0.06,weekly
NVDA,289.1,4.03,+36.74%,10.97,304.03,280.97,49.79%,60.4%,2023-05-05,270.00P,0.53,285.00P,3.3,300.00C,1.5,315.00C,0.24,weekly
NVDA,289.1,4.8,+47.06%,10.2,294.8,270.2,49.79%,60.0%,2023-05-05,260.00P,0.14,275.00P,0.95,290.00C,4.8,305.00C,0.81,weekly
AMD,89.69,3.18,+54.64%,5.82,101.18,85.82,104.35%,57.8%,2023-05-05,80.00P,0.49,89.00P,3,98.00C,0.86,107.00C,0.19,weekly
JPM,141.2,1,+50.00%,2,143,138,23.82%,57.7%,2023-05-05,136.00P,0.17,139.00P,0.48,142.00C,0.88,145.00C,0.19,weekly
NVDA,289.1,4.38,+53.94%,8.12,296.88,275.62,49.79%,57.7%,2023-05-05,267.50P,0.35,280.00P,1.84,292.50C,3.7,305.00C,0.81,weekly
NVDA,289.1,6.07,+43.58%,13.93,306.07,273.93,42.00%,57.5%,2023-05-12,260.00P,0.86,280.00P,4.1,300.00C,3.7,320.00C,0.87,weekly
DIS,102.21,0.91,+43.54%,2.09,104.91,100.09,32.71%,57.1%,2023-05-05,98.00P,0.16,101.00P,0.65,104.00C,0.53,107.00C,0.11,weekly
MSFT,305.56,2.26,+43.13%,5.24,312.26,300.24,27.30%,57.1%,2023-05-05,295.00P,0.44,302.50P,1.64,310.00C,1.25,317.50C,0.19,weekly
META,243.18,3.16,+46.20%,6.84,255.66,239.34,41.90%,56.9%,2023-05-05,232.50P,0.71,242.50P,3.25,252.50C,0.74,262.50C,0.12,weekly
NVDA,289.1,4.72,+60.67%,7.78,294.72,272.78,49.79%,56.6%,2023-05-05,265.00P,0.24,277.50P,1.36,290.00C,4.8,302.50C,1.2,weekly
NVDA,289.1,4.11,+48.99%,8.39,301.61,280.89,49.79%,56.4%,2023-05-05,272.50P,0.75,285.00P,3.3,297.50C,2,310.00C,0.44,weekly
AMD,89.69,3.13,+64.27%,4.87,100.13,85.87,104.35%,55.5%,2023-05-05,81.00P,0.63,89.00P,3,97.00C,1.02,105.00C,0.26,weekly
NVDA,289.1,6.7,+62.04%,10.8,299.2,268.3,42.00%,54.8%,2023-05-12,257.50P,0.79,275.00P,2.82,292.50C,6.5,310.00C,1.83,weekly
SCHW,51.81,0.57,+39.86%,1.43,53.57,50.43,44.31%,54.6%,2023-05-05,49.00P,0.15,51.00P,0.47,53.00C,0.33,55.00C,0.08,weekly
DIS,102.21,0.99,+49.25%,2.01,105.99,101.01,32.71%,54.4%,2023-05-05,99.00P,0.26,102.00P,1.02,105.00C,0.3,108.00C,0.07,weekly
AMD,89.69,2.99,+74.56%,4.01,97.99,85.01,104.35%,54.0%,2023-05-05,81.00P,0.63,88.00P,2.57,95.00C,1.48,102.00C,0.43,weekly
META,243.18,3.04,+68.16%,4.46,250.54,236.96,41.90%,53.6%,2023-05-05,232.50P,0.71,240.00P,2.29,247.50C,1.95,255.00C,0.49,weekly
MSFT,305.56,2.24,+42.59%,5.26,314.74,302.76,27.30%,52.9%,2023-05-05,297.50P,0.7,305.00P,2.52,312.50C,0.62,320.00C,0.2,weekly
AMD,89.69,3.08,+78.57%,3.92,99.08,85.92,104.35%,52.9%,2023-05-05,82.00P,0.79,89.00P,3,96.00C,1.23,103.00C,0.36,weekly
NVDA,289.1,4.56,+83.82%,5.44,294.56,275.44,49.79%,51.9%,2023-05-05,270.00P,0.53,280.00P,1.84,290.00C,4.8,300.00C,1.55,weekly
NVDA,289.1,4.19,+72.12%,5.81,299.19,280.81,49.79%,51.7%,2023-05-05,275.00P,0.98,285.00P,3.3,295.00C,2.68,305.00C,0.81,weekly
META,243.18,3.12,+71.23%,4.38,253.12,239.38,41.90%,51.5%,2023-05-05,235.00P,1.09,242.50P,3.25,250.00C,1.25,257.50C,0.29,weekly
NVDA,289.1,6.96,+86.57%,8.04,296.96,268.04,42.00%,51.2%,2023-05-12,260.00P,0.86,275.00P,2.82,290.00C,7.7,305.00C,2.7,weekly
NVDA,289.1,6.32,+72.81%,8.68,301.32,273.68,42.00%,50.9%,2023-05-12,265.00P,1.35,280.00P,4.1,295.00C,5.4,310.00C,1.83,weekly
AMD,89.69,2.92,+94.81%,3.08,96.92,85.08,104.35%,50.5%,2023-05-05,82.00P,0.79,88.00P,2.57,94.00C,1.76,100.00C,0.62,weekly
AAPL,169.59,3.19,+74.01%,4.31,178.19,164.31,36.35%,49.5%,2023-05-12,160.00P,1.18,167.50P,3.05,175.00C,1.67,182.50C,0.35,weekly
AMD,89.69,2.96,+97.37%,3.04,97.96,86.04,104.35%,49.4%,2023-05-05,83.00P,1,89.00P,3,95.00C,1.48,101.00C,0.52,weekly
GOOGL,107.2,1.73,+76.21%,2.27,112.73,105.27,30.30%,48.4%,2023-05-12,103.00P,0.72,107.00P,1.93,111.00C,0.72,115.00C,0.2,weekly
USB,32.94,0.45,+42.86%,1.05,33.45,31.05,58.46%,48.2%,2023-05-05,30.00P,0.1,31.50P,0.2,33.00C,0.6,34.50C,0.25,weekly
MSFT,305.56,2.37,+90.11%,2.63,309.87,300.13,27.30%,48.0%,2023-05-05,297.50P,0.7,302.50P,1.64,307.50C,2.17,312.50C,0.74,weekly
DIS,102.21,0.93,+86.92%,1.07,103.93,100.07,32.71%,47.5%,2023-05-05,99.00P,0.26,101.00P,0.65,103.00C,0.88,105.00C,0.34,weekly
JPM,141.2,0.93,+86.92%,1.07,142.93,139.07,23.82%,47.3%,2023-05-05,138.00P,0.35,140.00P,0.73,142.00C,0.88,144.00C,0.33,weekly
PYPL,75.11,0.87,+76.99%,1.13,77.87,74.13,41.11%,47.1%,2023-05-05,73.00P,0.4,75.00P,1,77.00C,0.42,79.00C,0.15,weekly
NVDA,289.1,6.19,+98.10%,6.31,298.69,273.81,42.00%,46.3%,2023-05-12,267.50P,1.71,280.00P,4.1,292.50C,6.5,305.00C,2.7,weekly
AMD,89.69,2.71,+118.34%,2.29,94.71,84.29,104.35%,46.2%,2023-05-05,82.00P,0.79,87.00P,2.15,92.00C,2.42,97.00C,1.07,weekly
AMD,89.69,2.76,+123.21%,2.24,95.76,85.24,104.35%,46.0%,2023-05-05,83.00P,1,88.00P,2.57,93.00C,2.08,98.00C,0.89,weekly
