Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE+,BE-,"Avg IV",Probability,"Exp Date","Leg1 Strike","Leg1 Ask","Leg2 Strike","Leg2 Bid","Leg3 Strike","Leg3 Bid","Leg4 Strike","Leg4 Ask"
TSLA,184.17,2.73,+22.25%,12.27,197.73,177.27,51.30%,67.2%,2023-05-26,165.00P,0.22,180.00P,2.16,195.00C,0.91,210.00C,0.12
NFLX,367.24,6.98,+38.73%,18.02,401.98,363.02,39.61%,65.4%,2023-05-26,345.00P,0.55,370.00P,7.05,395.00C,0.6,420.00C,0.12
TSLA,184.17,2.84,+29.40%,9.66,192.84,174.66,51.30%,64.2%,2023-05-26,165.00P,0.22,177.50P,1.5,190.00C,1.88,202.50C,0.32
TSLA,184.17,2.92,+30.48%,9.58,195.42,177.08,51.30%,63.5%,2023-05-26,167.50P,0.32,180.00P,2.16,192.50C,1.31,205.00C,0.23
NFLX,367.24,6.77,+51.17%,13.23,396.77,363.23,39.61%,62.6%,2023-05-26,350.00P,0.96,370.00P,7.05,390.00C,0.89,410.00C,0.21
TSLA,184.17,3.32,+36.17%,9.18,198.32,179.18,51.30%,61.6%,2023-05-26,170.00P,0.47,182.50P,3.05,195.00C,0.91,207.50C,0.17
AMD,108.18,1.97,+39.17%,5.03,115.97,105.03,52.38%,61.3%,2023-05-26,100.00P,0.24,107.00P,1.71,114.00C,0.66,121.00C,0.16
NFLX,367.24,6.59,+60.40%,10.91,394.09,363.41,39.61%,60.4%,2023-05-26,352.50P,1.25,370.00P,7.05,387.50C,1.09,405.00C,0.3
AMD,108.18,2.22,+46.44%,4.78,117.22,105.78,52.38%,60.1%,2023-05-26,101.00P,0.32,108.00P,2.15,115.00C,0.52,122.00C,0.13
MSFT,321.14,2.18,+27.88%,7.82,332.18,317.82,21.91%,59.8%,2023-05-26,310.00P,0.37,320.00P,2.11,330.00C,0.52,340.00C,0.08
META,251.52,3.04,+43.68%,6.96,260.54,244.46,36.65%,59.4%,2023-05-26,237.50P,0.37,247.50P,1.92,257.50C,1.83,267.50C,0.34
META,251.52,3.13,+45.56%,6.87,258.13,241.87,36.65%,58.7%,2023-05-26,235.00P,0.24,245.00P,1.28,255.00C,2.63,265.00C,0.54
TSLA,184.17,3.12,+45.35%,6.88,193.12,176.88,51.30%,58.6%,2023-05-26,170.00P,0.47,180.00P,2.16,190.00C,1.88,200.00C,0.45
TSLA,184.17,3.18,+46.63%,6.82,190.68,174.32,51.30%,58.6%,2023-05-26,167.50P,0.32,177.50P,1.5,187.50C,2.64,197.50C,0.64
MSFT,321.14,2.23,+42.32%,5.27,327.23,315.27,21.91%,58.3%,2023-05-26,310.00P,0.37,317.50P,1.35,325.00C,1.56,332.50C,0.31
TSLA,184.17,3.34,+50.15%,6.66,195.84,179.16,51.30%,57.3%,2023-05-26,172.50P,0.7,182.50P,3.05,192.50C,1.31,202.50C,0.32
NFLX,367.24,6.32,+72.81%,8.68,391.32,363.68,39.61%,57.3%,2023-05-26,355.00P,1.68,370.00P,7.05,385.00C,1.37,400.00C,0.42
AMD,108.18,2.19,+57.48%,3.81,116.19,105.81,52.38%,57.3%,2023-05-26,102.00P,0.43,108.00P,2.15,114.00C,0.66,120.00C,0.19
GOOGL,125.12,1.29,+47.60%,2.71,129.29,122.71,31.64%,55.6%,2023-05-26,120.00P,0.21,124.00P,0.94,128.00C,0.78,132.00C,0.22
MSFT,321.14,2.27,+43.40%,5.23,329.77,317.73,21.91%,55.1%,2023-05-26,312.50P,0.56,320.00P,2.11,327.50C,0.91,335.00C,0.19
NVDA,313.78,9.85,+77.87%,12.65,342.35,300.15,82.56%,54.4%,2023-05-26,287.50P,2.08,310.00P,8.95,332.50C,4.2,355.00C,1.22
AMD,108.18,2,+66.67%,3,114,105,52.38%,54.2%,2023-05-26,102.00P,0.43,107.00P,1.71,112.00C,1.06,117.00C,0.34
NFLX,367.24,5.04,+67.56%,7.46,382.54,359.96,39.61%,53.6%,2023-05-26,352.50P,1.25,365.00P,4.55,377.50C,2.66,390.00C,0.92
AMD,108.18,2.12,+73.61%,2.88,115.12,105.88,52.38%,53.4%,2023-05-26,103.00P,0.58,108.00P,2.15,113.00C,0.83,118.00C,0.28
META,251.52,3.17,+73.21%,4.33,258.17,244.33,36.65%,52.3%,2023-05-26,240.00P,0.56,247.50P,1.92,255.00C,2.63,262.50C,0.82
NVDA,313.78,9.32,+87.27%,10.68,336.82,298.18,82.56%,51.8%,2023-05-26,287.50P,2.08,307.50P,7.8,327.50C,5.45,347.50C,1.85
NVDA,313.78,9.62,+92.68%,10.38,339.62,300.38,82.56%,51.7%,2023-05-26,290.00P,2.52,310.00P,8.95,330.00C,4.8,350.00C,1.61
TSLA,184.17,3.18,+73.61%,4.32,190.68,176.82,51.30%,51.6%,2023-05-26,172.50P,0.7,180.00P,2.16,187.50C,2.64,195.00C,0.92
NVDA,313.78,9.95,+99.01%,10.05,342.45,302.55,82.56%,51.2%,2023-05-26,292.50P,3.05,312.50P,10.2,332.50C,4.2,352.50C,1.4
META,251.52,3.38,+82.04%,4.12,255.88,241.62,36.65%,51.1%,2023-05-26,237.50P,0.37,245.00P,1.28,252.50C,3.7,260.00C,1.23
TSLA,184.17,3.35,+80.72%,4.15,188.35,174.15,51.30%,51.0%,2023-05-26,170.00P,0.47,177.50P,1.5,185.00C,3.65,192.50C,1.33
TSLA,184.17,3.25,+76.47%,4.25,193.25,179.25,51.30%,51.0%,2023-05-26,175.00P,1.04,182.50P,3.05,190.00C,1.88,197.50C,0.64
UPST,26.03,1.17,+63.93%,1.83,28.17,22.83,146.09%,50.2%,2023-05-26,21.00P,0.18,24.00P,0.8,27.00C,1.01,30.00C,0.46
GOOGL,125.12,1.31,+77.51%,1.69,128.31,122.69,31.64%,49.7%,2023-05-26,121.00P,0.31,124.00P,0.94,127.00C,1.09,130.00C,0.41
MSFT,321.14,2.44,+95.31%,2.56,324.94,315.06,21.91%,49.6%,2023-05-26,312.50P,0.56,317.50P,1.35,322.50C,2.57,327.50C,0.92
GOOG,125.8,1.31,+77.51%,1.69,129.31,123.69,31.48%,49.0%,2023-05-26,122.00P,0.35,125.00P,1.05,128.00C,0.98,131.00C,0.37
AMD,108.18,1.92,+92.31%,2.08,112.92,105.08,52.38%,48.8%,2023-05-26,103.00P,0.58,107.00P,1.71,111.00C,1.33,115.00C,0.54
NVDA,313.78,9.08,+107.84%,8.42,334.08,298.42,82.56%,48.6%,2023-05-26,290.00P,2.52,307.50P,7.8,325.00C,6.25,342.50C,2.45
NVDA,313.78,8.9,+103.49%,8.6,331.4,296.1,82.56%,48.5%,2023-05-26,287.50P,2.08,305.00P,6.75,322.50C,7.05,340.00C,2.82
NVDA,313.78,9.22,+111.35%,8.28,336.72,300.78,82.56%,48.3%,2023-05-26,292.50P,3.05,310.00P,8.95,327.50C,5.45,345.00C,2.13
AMD,108.18,2,+100.00%,2,114,106,52.38%,48.2%,2023-05-26,104.00P,0.78,108.00P,2.15,112.00C,1.06,116.00C,0.43
NVDA,313.78,9.5,+118.75%,8,339.5,303,82.56%,48.0%,2023-05-26,295.00P,3.65,312.50P,10.2,330.00C,4.8,347.50C,1.85
NFLX,367.24,5.03,+101.21%,4.97,382.53,362.47,39.61%,47.9%,2023-05-26,357.50P,2.2,367.50P,5.7,377.50C,2.66,387.50C,1.13
NFLX,367.24,4.79,+91.94%,5.21,379.79,360.21,39.61%,47.7%,2023-05-26,355.00P,1.68,365.00P,4.55,375.00C,3.3,385.00C,1.38
NFLX,367.24,5.39,+116.92%,4.61,385.39,364.61,39.61%,47.6%,2023-05-26,360.00P,2.87,370.00P,7.05,380.00C,2.13,390.00C,0.92
MSFT,321.14,2.27,+83.15%,2.73,327.27,317.73,21.91%,47.2%,2023-05-26,315.00P,0.87,320.00P,2.11,325.00C,1.56,330.00C,0.53
NIO,8.8,0.18,+56.25%,0.32,9.18,8.32,76.33%,45.9%,2023-05-26,8.00P,0.06,8.50P,0.15,9.00C,0.18,9.50C,0.09
NVDA,313.78,8.73,+139.23%,6.27,333.73,301.27,82.56%,44.5%,2023-05-26,295.00P,3.65,310.00P,8.95,325.00C,6.25,340.00C,2.82
NVDA,313.78,8.55,+132.56%,6.45,331.05,298.95,82.56%,44.5%,2023-05-26,292.50P,3.05,307.50P,7.8,322.50C,7.05,337.50C,3.25
